,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
65,0,1.0,,,,,,,,,,,,,
36,2,3.0,,,,,,,,,,,,,
69,4,29.0,67.0,209.0,,,,,,,,,,,
73,5,6.0,176.0,185.0,221.0,,,,,,,,,,
9,7,178.0,179.0,,,,,,,,,,,,
63,8,9.0,,,,,,,,,,,,,
71,10,165.0,167.0,168.0,171.0,172.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
45,11,65.0,66.0,,,,,,,,,,,,
3,12,70.0,92.0,242.0,243.0,268.0,271.0,,,,,,,,
44,13,60.0,,,,,,,,,,,,,
6,14,15.0,16.0,,,,,,,,,,,,
8,17,18.0,19.0,20.0,21.0,,,,,,,,,,
7,22,23.0,40.0,42.0,64.0,132.0,,,,,,,,,
5,24,27.0,28.0,,,,,,,,,,,,
33,25,26.0,,,,,,,,,,,,,
11,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,
68,38,39.0,,,,,,,,,,,,,
46,41,59.0,,,,,,,,,,,,,
34,43,44.0,,,,,,,,,,,,,
35,45,46.0,,,,,,,,,,,,,
41,47,130.0,131.0,,,,,,,,,,,,
13,48,49.0,50.0,51.0,,,,,,,,,,,
31,52,152.0,153.0,154.0,157.0,,,,,,,,,,
12,53,54.0,55.0,,,,,,,,,,,,
14,56,57.0,58.0,,,,,,,,,,,,
10,61,156.0,211.0,212.0,241.0,,,,,,,,,,
55,62,127.0,133.0,140.0,,,,,,,,,,,
53,63,169.0,177.0,217.0,,,,,,,,,,,
48,68,134.0,136.0,144.0,244.0,,,,,,,,,,
1,69,72.0,73.0,74.0,,,,,,,,,,,
72,71,198.0,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,,,,
18,75,81.0,82.0,83.0,85.0,88.0,,,,,,,,,
17,76,77.0,78.0,79.0,80.0,93.0,,,,,,,,,
43,84,184.0,220.0,,,,,,,,,,,,
61,86,,,,,,,,,,,,,,
60,87,148.0,226.0,,,,,,,,,,,,
51,89,191.0,,,,,,,,,,,,,
16,90,91.0,94.0,95.0,,,,,,,,,,,
15,96,97.0,98.0,,,,,,,,,,,,
25,99,100.0,101.0,117.0,118.0,120.0,128.0,129.0,,,,,,,
26,102,103.0,105.0,,,,,,,,,,,,
28,104,108.0,,,,,,,,,,,,,
27,106,107.0,,,,,,,,,,,,,
4,109,113.0,114.0,115.0,116.0,,,,,,,,,,
37,110,111.0,112.0,,,,,,,,,,,,
54,119,121.0,122.0,,,,,,,,,,,,
32,123,124.0,125.0,126.0,,,,,,,,,,,
47,135,137.0,,,,,,,,,,,,,
42,138,139.0,141.0,,,,,,,,,,,,
39,142,143.0,,,,,,,,,,,,,
40,145,146.0,147.0,,,,,,,,,,,,
30,149,150.0,151.0,,,,,,,,,,,,
74,155,180.0,193.0,194.0,195.0,196.0,197.0,210.0,,,,,,,
66,158,161.0,163.0,,,,,,,,,,,,
64,159,160.0,,,,,,,,,,,,,
70,162,164.0,166.0,175.0,181.0,,,,,,,,,,
67,170,173.0,174.0,,,,,,,,,,,,
49,182,208.0,218.0,,,,,,,,,,,,
59,183,219.0,,,,,,,,,,,,,
58,186,222.0,,,,,,,,,,,,,
62,187,192.0,223.0,,,,,,,,,,,,
57,188,224.0,,,,,,,,,,,,,
50,189,228.0,,,,,,,,,,,,,
56,190,227.0,,,,,,,,,,,,,
29,233,234.0,236.0,237.0,238.0,240.0,,,,,,,,,
52,235,239.0,,,,,,,,,,,,,
24,245,255.0,262.0,,,,,,,,,,,,
19,246,248.0,257.0,261.0,,,,,,,,,,,
23,247,252.0,256.0,263.0,,,,,,,,,,,
22,249,253.0,258.0,,,,,,,,,,,,
20,250,254.0,259.0,265.0,,,,,,,,,,,
21,251,260.0,264.0,,,,,,,,,,,,
38,266,269.0,,,,,,,,,,,,,
2,267,270.0,,,,,,,,,,,,,
