,0,1,2,3,4,5,6,7,8
32,0,1,,,,,,,
31,2,3,244.0,,,,,,
36,4,29,205.0,209.0,,,,,
2,5,6,13.0,161.0,184.0,210.0,221.0,241.0,
15,7,177,178.0,,,,,,
38,8,9,,,,,,,
4,10,214,215.0,216.0,230.0,231.0,232.0,,
47,11,217,220.0,,,,,,
23,12,92,242.0,243.0,,,,,
8,14,15,16.0,,,,,,
14,17,18,19.0,20.0,21.0,,,,
6,22,23,24.0,27.0,28.0,42.0,43.0,44.0,
5,25,26,52.0,68.0,,,,,
13,30,31,32.0,33.0,34.0,35.0,36.0,37.0,
35,38,39,,,,,,,
71,40,67,99.0,100.0,121.0,,,,
9,41,59,,,,,,,
10,45,46,132.0,133.0,,,,,
63,47,129,130.0,,,,,,
17,48,49,50.0,51.0,,,,,
18,53,54,55.0,56.0,57.0,58.0,96.0,97.0,
11,60,61,62.0,,,,,,
48,63,83,218.0,,,,,,
42,64,158,159.0,,,,,,
7,65,66,183.0,,,,,,
25,69,70,71.0,72.0,73.0,74.0,,,
30,75,81,82.0,84.0,85.0,88.0,,,
29,76,77,78.0,79.0,80.0,93.0,,,
50,86,147,,,,,,,
49,87,226,,,,,,,
52,89,190,,,,,,,
28,90,91,94.0,95.0,,,,,
69,98,143,149.0,176.0,,,,,
19,101,119,122.0,123.0,124.0,125.0,,,
67,102,104,107.0,162.0,163.0,,,,
56,103,105,106.0,,,,,,
61,108,109,112.0,113.0,114.0,115.0,,,
20,110,111,,,,,,,
22,116,117,118.0,120.0,,,,,
21,126,127,128.0,,,,,,
12,131,145,155.0,211.0,212.0,,,,
62,134,135,136.0,,,,,,
64,137,140,141.0,142.0,,,,,
68,138,139,,,,,,,
70,144,146,,,,,,,
66,148,150,151.0,,,,,,
65,152,153,156.0,,,,,,
1,154,179,192.0,193.0,194.0,195.0,196.0,,
3,157,164,166.0,167.0,170.0,171.0,213.0,225.0,229.0
33,160,165,174.0,,,,,,
53,168,169,,,,,,,
34,172,173,175.0,180.0,,,,,
54,181,208,,,,,,,
55,182,219,,,,,,,
46,185,222,,,,,,,
40,186,191,223.0,,,,,,
45,187,224,,,,,,,
51,188,228,,,,,,,
44,189,227,,,,,,,
37,197,198,199.0,,,,,,
16,200,201,202.0,,,,,,
39,203,207,,,,,,,
41,204,206,,,,,,,
26,233,234,237.0,238.0,,,,,
27,235,236,239.0,240.0,,,,,
57,245,247,252.0,255.0,256.0,262.0,263.0,,
60,246,248,257.0,,,,,,
58,249,251,253.0,258.0,260.0,261.0,264.0,,
59,250,254,259.0,265.0,,,,,
43,266,269,,,,,,,
24,267,268,270.0,271.0,,,,,
