,0,1,2,3,4,5,6,7,8,9
20,0,1.0,,,,,,,,
21,2,3.0,244.0,,,,,,,
11,4,6.0,173.0,180.0,239.0,,,,,
10,5,13.0,209.0,241.0,,,,,,
7,7,177.0,178.0,,,,,,,
39,8,9.0,,,,,,,,
2,10,216.0,230.0,232.0,,,,,,
28,11,217.0,220.0,,,,,,,
61,12,92.0,242.0,243.0,,,,,,
72,14,15.0,16.0,,,,,,,
65,17,18.0,19.0,20.0,21.0,,,,,
66,22,23.0,24.0,25.0,26.0,27.0,28.0,,,
64,29,38.0,39.0,,,,,,,
63,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,
73,40,64.0,132.0,,,,,,,
75,41,59.0,155.0,211.0,212.0,,,,,
67,42,43.0,44.0,45.0,46.0,133.0,134.0,,,
41,47,130.0,131.0,,,,,,,
62,48,49.0,50.0,51.0,,,,,,
49,52,67.0,68.0,,,,,,,
69,53,54.0,55.0,144.0,,,,,,
68,56,57.0,58.0,,,,,,,
74,60,61.0,62.0,,,,,,,
29,63,83.0,218.0,,,,,,,
9,65,66.0,183.0,,,,,,,
59,69,70.0,71.0,72.0,73.0,74.0,,,,
14,75,81.0,82.0,84.0,85.0,88.0,,,,
13,76,77.0,78.0,79.0,80.0,93.0,,,,
31,86,,,,,,,,,
30,87,148.0,,,,,,,,
33,89,190.0,,,,,,,,
12,90,91.0,94.0,95.0,,,,,,
44,96,97.0,98.0,,,,,,,
48,99,100.0,,,,,,,,
47,101,119.0,122.0,123.0,124.0,125.0,126.0,,,
51,102,103.0,105.0,,,,,,,
56,104,106.0,107.0,108.0,,,,,,
52,109,110.0,,,,,,,,
54,111,112.0,,,,,,,,
55,113,114.0,115.0,116.0,,,,,,
58,117,118.0,120.0,121.0,,,,,,
57,127,128.0,129.0,,,,,,,
46,135,136.0,137.0,,,,,,,
42,138,141.0,142.0,143.0,,,,,,
43,139,140.0,,,,,,,,
45,145,146.0,147.0,,,,,,,
53,149,150.0,151.0,,,,,,,
50,152,153.0,156.0,,,,,,,
8,154,161.0,179.0,184.0,192.0,193.0,194.0,195.0,210.0,221.0
1,157,164.0,166.0,167.0,170.0,171.0,172.0,213.0,225.0,229.0
40,158,159.0,,,,,,,,
3,160,165.0,174.0,175.0,,,,,,
34,162,163.0,196.0,231.0,,,,,,
35,168,169.0,,,,,,,,
27,176,226.0,235.0,,,,,,,
36,181,205.0,208.0,,,,,,,
26,182,219.0,,,,,,,,
25,185,222.0,,,,,,,,
38,186,191.0,223.0,,,,,,,
24,187,224.0,,,,,,,,
32,188,228.0,,,,,,,,
23,189,227.0,,,,,,,,
37,197,198.0,203.0,207.0,,,,,,
71,199,204.0,206.0,,,,,,,
70,200,201.0,202.0,,,,,,,
6,214,215.0,,,,,,,,
5,233,234.0,237.0,238.0,,,,,,
4,236,240.0,,,,,,,,
16,245,248.0,255.0,257.0,,,,,,
18,246,249.0,261.0,264.0,,,,,,
17,247,252.0,253.0,256.0,262.0,,,,,
15,250,254.0,259.0,265.0,,,,,,
19,251,258.0,260.0,263.0,,,,,,
22,266,269.0,,,,,,,,
60,267,268.0,270.0,271.0,,,,,,
