,0,1,2,3,4,5,6,7,8,9
64,0,1,,,,,,,,
58,2,3,244.0,,,,,,,
34,4,28,37.0,38.0,,,,,,
68,5,6,13.0,184.0,209.0,221.0,241.0,,,
72,7,177,178.0,,,,,,,
30,8,9,,,,,,,,
31,10,158,159.0,,,,,,,
24,11,63,155.0,,,,,,,
57,12,91,152.0,153.0,156.0,242.0,243.0,,,
47,14,15,16.0,,,,,,,
33,17,18,19.0,20.0,21.0,,,,,
49,22,23,41.0,42.0,43.0,44.0,45.0,,,
46,24,26,27.0,,,,,,,
22,25,39,66.0,95.0,96.0,143.0,149.0,,,
32,29,30,31.0,32.0,33.0,34.0,35.0,36.0,,
48,40,58,,,,,,,,
55,46,129,130.0,,,,,,,
50,47,49,,,,,,,,
43,48,50,,,,,,,,
41,51,67,98.0,99.0,,,,,,
44,52,53,54.0,,,,,,,
45,55,56,57.0,,,,,,,
51,59,60,61.0,,,,,,,
14,62,82,218.0,,,,,,,
67,64,65,183.0,,,,,,,
56,68,69,70.0,,,,,,,
21,71,72,73.0,,,,,,,
62,74,80,81.0,83.0,84.0,87.0,,,,
61,75,76,77.0,78.0,79.0,92.0,,,,
16,85,147,,,,,,,,
17,86,226,,,,,,,,
20,88,190,,,,,,,,
60,89,90,93.0,94.0,,,,,,
18,97,176,220.0,,,,,,,
37,100,119,121.0,122.0,123.0,124.0,125.0,,,
39,101,102,,,,,,,,
23,103,104,,,,,,,,
38,105,106,107.0,,,,,,,
5,108,109,112.0,113.0,114.0,115.0,,,,
35,110,111,,,,,,,,
36,116,117,118.0,120.0,,,,,,
40,126,127,128.0,,,,,,,
52,131,132,133.0,145.0,148.0,211.0,212.0,,,
53,134,135,136.0,,,,,,,
6,137,140,141.0,142.0,,,,,,
42,138,139,,,,,,,,
10,144,146,,,,,,,,
54,150,151,,,,,,,,
66,154,179,192.0,193.0,194.0,195.0,196.0,210.0,,
65,157,160,163.0,165.0,174.0,175.0,,,,
69,161,168,169.0,180.0,,,,,,
15,162,217,,,,,,,,
63,164,166,167.0,170.0,171.0,172.0,173.0,213.0,225.0,229.0
8,181,208,,,,,,,,
9,182,219,,,,,,,,
13,185,222,,,,,,,,
29,186,191,223.0,,,,,,,
12,187,224,,,,,,,,
19,188,228,,,,,,,,
11,189,227,,,,,,,,
26,197,198,199.0,,,,,,,
28,200,201,202.0,,,,,,,
25,203,205,207.0,,,,,,,
27,204,206,,,,,,,,
70,214,215,,,,,,,,
71,216,230,231.0,232.0,,,,,,
73,233,234,237.0,238.0,,,,,,
74,235,236,239.0,240.0,,,,,,
4,245,250,254.0,259.0,265.0,,,,,
3,246,248,257.0,,,,,,,
2,247,252,255.0,256.0,262.0,263.0,,,,
1,249,251,253.0,258.0,260.0,261.0,264.0,,,
7,266,269,,,,,,,,
59,267,268,270.0,271.0,,,,,,
