,0,1,2,3,4,5,6,7,8
14,0,1.0,,,,,,,
13,2,3.0,,,,,,,
45,4,29.0,209.0,,,,,,
4,5,6.0,13.0,161.0,184.0,196.0,210.0,221.0,241.0
5,7,177.0,178.0,,,,,,
10,8,9.0,,,,,,,
1,10,214.0,215.0,216.0,230.0,231.0,232.0,,
24,11,162.0,217.0,220.0,,,,,
38,12,92.0,242.0,243.0,244.0,,,,
39,14,15.0,16.0,,,,,,
43,17,18.0,19.0,20.0,21.0,,,,
40,22,23.0,24.0,25.0,26.0,27.0,28.0,,
42,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,
44,38,39.0,,,,,,,
61,40,52.0,67.0,68.0,99.0,100.0,,,
67,41,59.0,,,,,,,
41,42,43.0,44.0,45.0,46.0,132.0,133.0,,
71,47,129.0,130.0,,,,,,
51,48,49.0,50.0,51.0,,,,,
62,53,143.0,149.0,176.0,,,,,
52,54,55.0,56.0,57.0,58.0,96.0,97.0,98.0,
66,60,61.0,62.0,,,,,,
23,63,64.0,,,,,,,
64,65,66.0,183.0,,,,,,
35,69,70.0,71.0,72.0,73.0,74.0,,,
34,75,81.0,82.0,83.0,84.0,85.0,88.0,,
33,76,77.0,78.0,79.0,80.0,93.0,,,
26,86,,,,,,,,
25,87,147.0,226.0,,,,,,
28,89,190.0,,,,,,,
32,90,91.0,94.0,95.0,,,,,
56,101,119.0,122.0,125.0,,,,,
60,102,103.0,107.0,,,,,,
19,104,105.0,106.0,,,,,,
63,108,109.0,112.0,113.0,114.0,115.0,,,
53,110,111.0,,,,,,,
55,116,117.0,118.0,120.0,,,,,
57,121,123.0,124.0,,,,,,
54,126,127.0,128.0,,,,,,
68,131,145.0,155.0,211.0,212.0,,,,
69,134,135.0,136.0,,,,,,
70,137,140.0,141.0,142.0,,,,,
58,138,139.0,,,,,,,
59,144,146.0,,,,,,,
72,148,150.0,151.0,,,,,,
37,152,153.0,156.0,,,,,,
3,154,179.0,192.0,193.0,194.0,195.0,,,
2,157,164.0,166.0,167.0,170.0,171.0,213.0,225.0,229.0
16,158,159.0,,,,,,,
12,160,163.0,165.0,174.0,,,,,
29,168,169.0,,,,,,,
8,172,173.0,175.0,180.0,,,,,
31,181,208.0,218.0,,,,,,
30,182,219.0,,,,,,,
22,185,222.0,,,,,,,
15,186,191.0,223.0,,,,,,
21,187,224.0,,,,,,,
27,188,228.0,,,,,,,
20,189,227.0,,,,,,,
9,197,198.0,199.0,205.0,,,,,
65,200,201.0,202.0,,,,,,
11,203,207.0,,,,,,,
17,204,206.0,,,,,,,
6,233,234.0,237.0,238.0,,,,,
7,235,236.0,239.0,240.0,,,,,
50,245,255.0,256.0,262.0,,,,,
47,246,248.0,257.0,,,,,,
49,247,252.0,263.0,,,,,,
46,249,251.0,253.0,258.0,260.0,261.0,264.0,,
48,250,254.0,259.0,265.0,,,,,
18,266,269.0,,,,,,,
36,267,268.0,270.0,271.0,,,,,
