,0,1,2,3,4,5,6,7,8,9,10,11,12,13
37,0,1.0,,,,,,,,,,,,
35,2,3.0,,,,,,,,,,,,
11,4,29.0,38.0,39.0,40.0,209.0,,,,,,,,
7,5,6.0,176.0,185.0,196.0,197.0,221.0,,,,,,,
9,7,178.0,179.0,,,,,,,,,,,
40,8,9.0,,,,,,,,,,,,
41,10,159.0,160.0,,,,,,,,,,,
57,11,217.0,220.0,,,,,,,,,,,
13,12,70.0,92.0,242.0,243.0,244.0,,,,,,,,
63,13,60.0,65.0,,,,,,,,,,,
17,14,15.0,16.0,,,,,,,,,,,
10,17,18.0,19.0,20.0,21.0,,,,,,,,,
14,22,23.0,24.0,27.0,28.0,,,,,,,,,
70,25,52.0,71.0,154.0,157.0,,,,,,,,,
50,26,119.0,122.0,136.0,144.0,177.0,,,,,,,,
8,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,
15,41,59.0,,,,,,,,,,,,
18,42,64.0,132.0,133.0,134.0,,,,,,,,,
48,43,44.0,45.0,46.0,,,,,,,,,,
66,47,96.0,130.0,131.0,,,,,,,,,,
19,48,49.0,50.0,51.0,,,,,,,,,,
20,53,54.0,55.0,,,,,,,,,,,
21,56,57.0,58.0,,,,,,,,,,,
64,61,62.0,63.0,169.0,241.0,,,,,,,,,
61,66,84.0,184.0,,,,,,,,,,,
34,67,68.0,,,,,,,,,,,,
43,69,72.0,73.0,74.0,,,,,,,,,,
24,75,81.0,82.0,83.0,85.0,88.0,,,,,,,,
23,76,77.0,78.0,79.0,80.0,93.0,,,,,,,,
58,86,,,,,,,,,,,,,
56,87,148.0,226.0,,,,,,,,,,,
60,89,191.0,,,,,,,,,,,,
22,90,91.0,94.0,95.0,,,,,,,,,,
67,97,98.0,,,,,,,,,,,,
33,99,100.0,101.0,,,,,,,,,,,
30,102,103.0,105.0,,,,,,,,,,,
69,104,106.0,107.0,108.0,,,,,,,,,,
44,109,113.0,114.0,115.0,116.0,,,,,,,,,
36,110,111.0,112.0,,,,,,,,,,,
31,117,118.0,120.0,121.0,,,,,,,,,,
47,123,126.0,,,,,,,,,,,,
46,124,125.0,,,,,,,,,,,,
68,127,140.0,141.0,145.0,146.0,147.0,,,,,,,,
32,128,129.0,139.0,,,,,,,,,,,
49,135,137.0,,,,,,,,,,,,
65,138,142.0,143.0,,,,,,,,,,,
71,149,150.0,151.0,152.0,153.0,,,,,,,,,
6,155,180.0,193.0,194.0,195.0,210.0,,,,,,,,
16,156,211.0,212.0,,,,,,,,,,,
38,158,161.0,163.0,,,,,,,,,,,
3,162,164.0,166.0,175.0,181.0,,,,,,,,,
1,165,167.0,168.0,171.0,172.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
2,170,173.0,174.0,,,,,,,,,,,
52,182,208.0,218.0,,,,,,,,,,,
51,183,219.0,,,,,,,,,,,,
55,186,222.0,,,,,,,,,,,,
39,187,192.0,223.0,,,,,,,,,,,
54,188,224.0,,,,,,,,,,,,
59,189,228.0,,,,,,,,,,,,
53,190,227.0,,,,,,,,,,,,
5,198,200.0,201.0,202.0,205.0,,,,,,,,,
4,199,203.0,204.0,206.0,207.0,,,,,,,,,
42,233,234.0,237.0,238.0,,,,,,,,,,
62,235,236.0,239.0,240.0,,,,,,,,,,
28,245,252.0,255.0,256.0,262.0,,,,,,,,,
26,246,248.0,257.0,261.0,,,,,,,,,,
29,247,251.0,253.0,260.0,263.0,,,,,,,,,
27,249,258.0,264.0,,,,,,,,,,,
25,250,254.0,259.0,265.0,,,,,,,,,,
45,266,269.0,,,,,,,,,,,,
12,267,268.0,270.0,271.0,,,,,,,,,,
