,0,1,2,3,4,5,6,7,8,9
20,0,1.0,,,,,,,,
22,2,3.0,244.0,,,,,,,
63,4,11.0,29.0,,,,,,,
2,5,6.0,13.0,161.0,184.0,192.0,209.0,210.0,221.0,241.0
66,7,177.0,178.0,,,,,,,
17,8,9.0,,,,,,,,
7,10,216.0,230.0,232.0,,,,,,
52,12,92.0,242.0,243.0,,,,,,
57,14,15.0,16.0,,,,,,,
61,17,18.0,19.0,20.0,21.0,,,,,
58,22,23.0,24.0,25.0,26.0,27.0,28.0,68.0,,
60,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,
62,38,39.0,,,,,,,,
30,40,52.0,67.0,124.0,125.0,,,,,
71,41,59.0,64.0,132.0,155.0,211.0,212.0,,,
59,42,43.0,44.0,45.0,46.0,133.0,134.0,,,
40,47,130.0,131.0,,,,,,,
64,48,49.0,50.0,51.0,,,,,,
65,53,54.0,55.0,56.0,57.0,58.0,144.0,,,
70,60,61.0,62.0,,,,,,,
41,63,168.0,,,,,,,,
69,65,66.0,183.0,,,,,,,
54,69,70.0,71.0,72.0,73.0,74.0,,,,
10,75,81.0,82.0,83.0,84.0,85.0,88.0,,,
9,76,77.0,78.0,79.0,80.0,93.0,,,,
49,86,,,,,,,,,
48,87,148.0,226.0,,,,,,,
51,89,190.0,,,,,,,,
8,90,91.0,94.0,95.0,,,,,,
35,96,97.0,98.0,,,,,,,
31,99,100.0,,,,,,,,
32,101,123.0,126.0,,,,,,,
29,102,103.0,105.0,108.0,,,,,,
23,104,106.0,107.0,,,,,,,
37,109,110.0,113.0,114.0,115.0,116.0,,,,
24,111,112.0,,,,,,,,
25,117,118.0,119.0,120.0,121.0,122.0,,,,
28,127,128.0,129.0,,,,,,,
27,135,136.0,137.0,,,,,,,
36,138,141.0,146.0,147.0,,,,,,
33,139,140.0,,,,,,,,
34,142,143.0,145.0,,,,,,,
39,149,150.0,151.0,,,,,,,
26,152,153.0,156.0,,,,,,,
1,154,179.0,193.0,194.0,195.0,,,,,
6,157,165.0,174.0,175.0,,,,,,
18,158,159.0,,,,,,,,
5,160,162.0,163.0,196.0,231.0,,,,,
3,164,166.0,167.0,170.0,171.0,213.0,225.0,229.0,,
21,169,172.0,173.0,,,,,,,
47,176,217.0,220.0,,,,,,,
19,180,197.0,198.0,199.0,203.0,207.0,,,,
42,181,205.0,208.0,218.0,,,,,,
46,182,219.0,,,,,,,,
45,185,222.0,,,,,,,,
16,186,191.0,223.0,,,,,,,
44,187,224.0,,,,,,,,
50,188,228.0,,,,,,,,
43,189,227.0,,,,,,,,
68,200,201.0,202.0,,,,,,,
67,204,206.0,,,,,,,,
4,214,215.0,,,,,,,,
55,233,234.0,237.0,238.0,,,,,,
56,235,236.0,239.0,240.0,,,,,,
11,245,247.0,252.0,255.0,256.0,262.0,263.0,,,
13,246,249.0,261.0,264.0,,,,,,
14,248,257.0,,,,,,,,
15,250,254.0,259.0,265.0,,,,,,
12,251,253.0,258.0,260.0,,,,,,
38,266,269.0,,,,,,,,
53,267,268.0,270.0,271.0,,,,,,
