,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
8,0,1,,,,,,,,,,,,,,,,,,,,,,,
7,2,3,244.0,,,,,,,,,,,,,,,,,,,,,,
30,4,29,38.0,199.0,210.0,,,,,,,,,,,,,,,,,,,,
57,5,6,185.0,222.0,241.0,,,,,,,,,,,,,,,,,,,,
65,7,178,179.0,,,,,,,,,,,,,,,,,,,,,,
10,8,9,,,,,,,,,,,,,,,,,,,,,,,
11,10,159,,,,,,,,,,,,,,,,,,,,,,,
25,11,221,,,,,,,,,,,,,,,,,,,,,,,
58,12,92,242.0,243.0,,,,,,,,,,,,,,,,,,,,,
47,13,18,46.0,134.0,135.0,,,,,,,,,,,,,,,,,,,,
63,14,15,16.0,,,,,,,,,,,,,,,,,,,,,,
60,17,19,20.0,21.0,,,,,,,,,,,,,,,,,,,,,
64,22,23,24.0,28.0,42.0,43.0,44.0,45.0,133.0,,,,,,,,,,,,,,,,
45,25,26,27.0,,,,,,,,,,,,,,,,,,,,,,
61,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,,,,,,,,,,,
3,39,70,71.0,158.0,160.0,161.0,163.0,165.0,167.0,168.0,171.0,172.0,173.0,174.0,196.0,197.0,214.0,215.0,216.0,217.0,226.0,230.0,231.0,232.0,240.0
42,40,47,52.0,151.0,,,,,,,,,,,,,,,,,,,,,
66,41,59,,,,,,,,,,,,,,,,,,,,,,,
37,48,49,50.0,,,,,,,,,,,,,,,,,,,,,,
35,51,96,97.0,98.0,,,,,,,,,,,,,,,,,,,,,
36,53,54,55.0,144.0,,,,,,,,,,,,,,,,,,,,,
62,56,57,58.0,,,,,,,,,,,,,,,,,,,,,,
43,60,62,,,,,,,,,,,,,,,,,,,,,,,
23,61,87,,,,,,,,,,,,,,,,,,,,,,,
24,63,83,219.0,,,,,,,,,,,,,,,,,,,,,,
67,64,132,155.0,156.0,212.0,213.0,,,,,,,,,,,,,,,,,,,
13,65,66,184.0,,,,,,,,,,,,,,,,,,,,,,
31,67,68,,,,,,,,,,,,,,,,,,,,,,,
48,69,72,73.0,74.0,,,,,,,,,,,,,,,,,,,,,
6,75,81,82.0,84.0,85.0,88.0,,,,,,,,,,,,,,,,,,,
5,76,77,78.0,79.0,80.0,93.0,,,,,,,,,,,,,,,,,,,
26,86,148,,,,,,,,,,,,,,,,,,,,,,,
17,89,191,,,,,,,,,,,,,,,,,,,,,,,
4,90,91,94.0,95.0,,,,,,,,,,,,,,,,,,,,,
32,99,100,101.0,,,,,,,,,,,,,,,,,,,,,,
29,102,105,128.0,129.0,,,,,,,,,,,,,,,,,,,,,
41,103,104,108.0,,,,,,,,,,,,,,,,,,,,,,
28,106,107,,,,,,,,,,,,,,,,,,,,,,,
34,109,110,111.0,112.0,,,,,,,,,,,,,,,,,,,,,
33,113,114,115.0,116.0,,,,,,,,,,,,,,,,,,,,,
44,117,119,122.0,125.0,,,,,,,,,,,,,,,,,,,,,
27,118,120,121.0,123.0,124.0,126.0,,,,,,,,,,,,,,,,,,,
39,127,130,131.0,142.0,143.0,145.0,146.0,147.0,,,,,,,,,,,,,,,,,
46,136,137,,,,,,,,,,,,,,,,,,,,,,,
38,138,139,140.0,141.0,,,,,,,,,,,,,,,,,,,,,
40,149,150,152.0,,,,,,,,,,,,,,,,,,,,,,
2,153,154,157.0,,,,,,,,,,,,,,,,,,,,,,
1,162,164,166.0,175.0,176.0,181.0,,,,,,,,,,,,,,,,,,,
18,169,170,218.0,,,,,,,,,,,,,,,,,,,,,,
50,177,239,,,,,,,,,,,,,,,,,,,,,,,
56,180,193,194.0,195.0,211.0,,,,,,,,,,,,,,,,,,,,
14,182,209,,,,,,,,,,,,,,,,,,,,,,,
15,183,220,,,,,,,,,,,,,,,,,,,,,,,
20,186,223,,,,,,,,,,,,,,,,,,,,,,,
9,187,192,224.0,,,,,,,,,,,,,,,,,,,,,,
21,188,225,,,,,,,,,,,,,,,,,,,,,,,
16,189,229,,,,,,,,,,,,,,,,,,,,,,,
19,190,228,,,,,,,,,,,,,,,,,,,,,,,
54,198,201,202.0,203.0,206.0,,,,,,,,,,,,,,,,,,,,
55,200,204,205.0,207.0,208.0,,,,,,,,,,,,,,,,,,,,
22,227,235,,,,,,,,,,,,,,,,,,,,,,,
49,233,234,236.0,237.0,238.0,,,,,,,,,,,,,,,,,,,,
52,245,247,252.0,253.0,261.0,,,,,,,,,,,,,,,,,,,,
51,246,248,250.0,254.0,255.0,257.0,259.0,265.0,,,,,,,,,,,,,,,,,
53,249,251,256.0,258.0,260.0,262.0,263.0,264.0,,,,,,,,,,,,,,,,,
12,266,269,,,,,,,,,,,,,,,,,,,,,,,
59,267,268,270.0,271.0,,,,,,,,,,,,,,,,,,,,,
