,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
30,0,1,,,,,,,,,,,,,
47,2,3,,,,,,,,,,,,,
29,4,29,67.0,209.0,,,,,,,,,,,
73,5,6,176.0,185.0,196.0,197.0,221.0,,,,,,,,
5,7,178,179.0,,,,,,,,,,,,
26,8,9,,,,,,,,,,,,,
69,10,165,167.0,168.0,171.0,172.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
41,11,139,,,,,,,,,,,,,
2,12,70,92.0,242.0,243.0,268.0,271.0,,,,,,,,
57,13,62,169.0,244.0,,,,,,,,,,,
6,14,15,16.0,,,,,,,,,,,,
4,17,18,19.0,20.0,21.0,,,,,,,,,,
34,22,23,,,,,,,,,,,,,
35,24,27,28.0,,,,,,,,,,,,
36,25,26,52.0,157.0,,,,,,,,,,,
3,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,
28,38,39,40.0,,,,,,,,,,,,
54,41,59,,,,,,,,,,,,,
7,42,64,132.0,156.0,211.0,212.0,241.0,,,,,,,,
37,43,44,,,,,,,,,,,,,
38,45,46,133.0,,,,,,,,,,,,
39,47,138,140.0,141.0,,,,,,,,,,,
16,48,49,50.0,51.0,,,,,,,,,,,
15,53,54,55.0,,,,,,,,,,,,
17,56,57,58.0,,,,,,,,,,,,
56,60,61,,,,,,,,,,,,,
64,63,83,177.0,217.0,,,,,,,,,,,
50,65,66,,,,,,,,,,,,,
65,68,87,226.0,,,,,,,,,,,,
67,69,72,73.0,74.0,,,,,,,,,,,
74,71,198,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,,,,
10,75,81,82.0,85.0,88.0,,,,,,,,,,
9,76,77,78.0,79.0,80.0,93.0,,,,,,,,,
51,84,184,220.0,,,,,,,,,,,,
66,86,148,,,,,,,,,,,,,
60,89,191,,,,,,,,,,,,,
8,90,91,94.0,95.0,,,,,,,,,,,
18,96,97,98.0,,,,,,,,,,,,
20,99,100,101.0,,,,,,,,,,,,
24,102,103,105.0,,,,,,,,,,,,
23,104,108,,,,,,,,,,,,,
22,106,107,,,,,,,,,,,,,
68,109,113,114.0,115.0,116.0,,,,,,,,,,
48,110,111,112.0,,,,,,,,,,,,
21,117,118,120.0,128.0,129.0,,,,,,,,,,
32,119,121,122.0,,,,,,,,,,,,
33,123,124,125.0,126.0,,,,,,,,,,,
42,127,130,131.0,,,,,,,,,,,,
44,134,136,144.0,,,,,,,,,,,,
59,135,137,,,,,,,,,,,,,
43,142,143,145.0,,,,,,,,,,,,
40,146,147,,,,,,,,,,,,,
46,149,150,151.0,,,,,,,,,,,,
45,152,153,154.0,,,,,,,,,,,,
72,155,180,193.0,194.0,195.0,210.0,,,,,,,,,
31,158,161,163.0,,,,,,,,,,,,
27,159,160,,,,,,,,,,,,,
71,162,164,166.0,175.0,181.0,,,,,,,,,,
70,170,173,174.0,,,,,,,,,,,,
53,182,208,218.0,,,,,,,,,,,,
52,183,219,,,,,,,,,,,,,
63,186,222,,,,,,,,,,,,,
25,187,192,223.0,,,,,,,,,,,,
62,188,224,,,,,,,,,,,,,
58,189,228,,,,,,,,,,,,,
61,190,227,,,,,,,,,,,,,
75,233,234,236.0,237.0,238.0,240.0,,,,,,,,,
55,235,239,,,,,,,,,,,,,
14,245,255,,,,,,,,,,,,,
12,246,248,257.0,261.0,,,,,,,,,,,
19,247,252,253.0,256.0,262.0,263.0,,,,,,,,,
11,249,251,258.0,260.0,264.0,,,,,,,,,,
13,250,254,259.0,265.0,,,,,,,,,,,
49,266,269,,,,,,,,,,,,,
1,267,270,,,,,,,,,,,,,
