,0,1,2,3,4,5,6,7,8,9,10,11
29,0,1,,,,,,,,,,
28,2,3,,,,,,,,,,
43,4,29,38.0,180.0,,,,,,,,
65,5,6,13.0,163.0,184.0,209.0,210.0,221.0,241.0,,,
17,7,177,178.0,,,,,,,,,
31,8,9,,,,,,,,,,
69,10,216,230.0,231.0,232.0,,,,,,,
61,11,86,220.0,,,,,,,,,
6,12,70,92.0,242.0,243.0,244.0,,,,,,
44,14,15,16.0,67.0,,,,,,,,
54,17,61,156.0,,,,,,,,,
21,18,22,24.0,27.0,28.0,42.0,43.0,44.0,45.0,46.0,,
13,19,21,,,,,,,,,,
59,20,176,217.0,,,,,,,,,
20,23,25,26.0,68.0,,,,,,,,
14,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,
67,39,71,158.0,161.0,164.0,166.0,175.0,240.0,,,,
38,40,52,132.0,149.0,,,,,,,,
19,41,59,211.0,212.0,,,,,,,,
34,47,139,140.0,142.0,,,,,,,,
15,48,49,50.0,51.0,,,,,,,,
16,53,54,55.0,57.0,97.0,98.0,144.0,,,,,
35,56,58,,,,,,,,,,
53,60,62,,,,,,,,,,
58,63,83,218.0,,,,,,,,,
39,64,109,110.0,111.0,116.0,,,,,,,
18,65,66,183.0,,,,,,,,,
4,69,72,73.0,74.0,,,,,,,,
2,75,81,82.0,84.0,85.0,88.0,,,,,,
1,76,77,78.0,79.0,80.0,93.0,,,,,,
60,87,148,226.0,,,,,,,,,
52,89,190,,,,,,,,,,
3,90,91,94.0,95.0,,,,,,,,
47,96,136,,,,,,,,,,
10,99,100,101.0,,,,,,,,,
8,102,104,105.0,106.0,107.0,108.0,,,,,,
36,103,127,138.0,141.0,146.0,147.0,,,,,,
33,112,113,114.0,115.0,,,,,,,,
12,117,119,128.0,129.0,,,,,,,,
9,118,121,122.0,124.0,125.0,,,,,,,
11,120,123,126.0,,,,,,,,,
45,130,131,,,,,,,,,,
41,133,134,,,,,,,,,,
40,135,137,,,,,,,,,,
46,143,145,,,,,,,,,,
37,150,151,152.0,,,,,,,,,
66,153,154,157.0,,,,,,,,,
64,155,162,179.0,192.0,193.0,194.0,195.0,196.0,,,,
32,159,160,223.0,,,,,,,,,
68,165,167,168.0,171.0,172.0,173.0,174.0,213.0,214.0,215.0,225.0,229.0
48,169,170,,,,,,,,,,
49,181,208,,,,,,,,,,
50,182,219,,,,,,,,,,
57,185,222,,,,,,,,,,
30,186,191,,,,,,,,,,
56,187,224,,,,,,,,,,
51,188,228,,,,,,,,,,
55,189,227,,,,,,,,,,
7,197,198,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,
62,233,234,237.0,238.0,,,,,,,,
63,235,236,239.0,,,,,,,,,
22,245,254,255.0,259.0,265.0,,,,,,,
23,246,250,,,,,,,,,,
25,247,252,256.0,262.0,,,,,,,,
26,248,257,261.0,,,,,,,,,
27,249,251,253.0,264.0,,,,,,,,
24,258,260,263.0,,,,,,,,,
42,266,269,,,,,,,,,,
5,267,268,270.0,271.0,,,,,,,,
