,0,1,2,3,4,5,6,7,8,9,10
12,0,1,,,,,,,,,
11,2,3,,,,,,,,,
15,4,29,38.0,,,,,,,,
64,5,6,13.0,162.0,163.0,176.0,185.0,209.0,210.0,221.0,241.0
31,7,178,179.0,204.0,206.0,214.0,215.0,,,,
9,8,9,,,,,,,,,
65,10,216,230.0,231.0,232.0,,,,,,
22,11,217,220.0,,,,,,,,
34,12,92,242.0,243.0,,,,,,,
58,14,15,16.0,,,,,,,,
27,17,96,235.0,,,,,,,,
37,18,19,20.0,21.0,,,,,,,
47,22,23,24.0,27.0,28.0,42.0,43.0,44.0,,,
46,25,26,52.0,,,,,,,,
38,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,
63,39,70,155.0,168.0,172.0,173.0,180.0,193.0,194.0,195.0,196.0
57,40,132,134.0,135.0,136.0,,,,,,
49,41,59,156.0,211.0,212.0,,,,,,
61,45,46,,,,,,,,,
50,47,130,131.0,,,,,,,,
35,48,49,50.0,51.0,,,,,,,
36,53,54,55.0,56.0,57.0,58.0,144.0,,,,
59,60,61,62.0,100.0,,,,,,,
23,63,83,218.0,,,,,,,,
10,64,159,160.0,,,,,,,,
48,65,66,184.0,,,,,,,,
60,67,68,,,,,,,,,
32,69,71,72.0,73.0,74.0,,,,,,
6,75,81,82.0,84.0,85.0,88.0,,,,,
5,76,77,78.0,79.0,80.0,93.0,,,,,
25,86,148,,,,,,,,,
24,87,226,,,,,,,,,
29,89,191,,,,,,,,,
7,90,91,94.0,95.0,,,,,,,
54,97,98,,,,,,,,,
56,99,133,137.0,,,,,,,,
40,101,120,123.0,126.0,,,,,,,
44,102,103,105.0,,,,,,,,
42,104,106,107.0,108.0,,,,,,,
45,109,110,111.0,113.0,114.0,115.0,116.0,,,,
53,112,138,141.0,142.0,150.0,,,,,,
41,117,118,119.0,121.0,122.0,,,,,,
39,124,125,,,,,,,,,
43,127,128,129.0,,,,,,,,
51,139,140,,,,,,,,,
55,143,145,146.0,147.0,,,,,,,
52,149,151,152.0,,,,,,,,
62,153,154,157.0,,,,,,,,
66,158,161,164.0,166.0,175.0,,,,,,
67,165,167,171.0,174.0,213.0,225.0,229.0,,,,
17,169,170,,,,,,,,,
18,177,244,,,,,,,,,
70,181,198,200.0,203.0,207.0,,,,,,
16,182,208,,,,,,,,,
26,183,219,,,,,,,,,
21,186,222,,,,,,,,,
8,187,192,223.0,,,,,,,,
20,188,224,,,,,,,,,
28,189,228,,,,,,,,,
19,190,227,,,,,,,,,
69,197,199,205.0,,,,,,,,
68,201,202,,,,,,,,,
30,233,234,236.0,237.0,238.0,239.0,240.0,,,,
2,245,252,255.0,262.0,,,,,,,
4,246,248,257.0,261.0,,,,,,,
1,247,249,251.0,253.0,256.0,258.0,260.0,263.0,264.0,,
3,250,254,259.0,265.0,,,,,,,
13,266,269,,,,,,,,,
14,267,270,,,,,,,,,
33,268,271,,,,,,,,,
