,0,1,2,3,4,5,6,7,8
4,0,1,,,,,,,
51,2,3,244.0,,,,,,
70,4,173,180.0,209.0,,,,,
9,5,6,13.0,161.0,184.0,192.0,210.0,221.0,241.0
7,7,177,178.0,214.0,215.0,,,,
53,8,9,,,,,,,
54,10,158,,,,,,,
63,11,64,217.0,,,,,,
24,12,92,242.0,243.0,,,,,
10,14,15,16.0,,,,,,
20,17,18,19.0,20.0,21.0,,,,
12,22,23,24.0,25.0,26.0,27.0,28.0,52.0,
14,29,60,61.0,62.0,,,,,
18,30,31,32.0,33.0,34.0,35.0,36.0,37.0,
19,38,39,,,,,,,
42,40,101,102.0,104.0,118.0,144.0,,,
15,41,59,131.0,155.0,211.0,212.0,,,
11,42,44,45.0,46.0,132.0,133.0,,,
38,43,98,99.0,100.0,122.0,123.0,124.0,125.0,
43,47,129,130.0,,,,,,
16,48,49,50.0,51.0,,,,,
17,53,54,55.0,56.0,57.0,58.0,96.0,143.0,
65,63,220,239.0,,,,,,
13,65,66,183.0,,,,,,
37,67,68,,,,,,,
68,69,70,72.0,73.0,74.0,,,,
34,71,97,156.0,196.0,231.0,,,,
23,75,81,82.0,83.0,84.0,85.0,88.0,,
22,76,77,78.0,79.0,80.0,93.0,,,
61,86,147,,,,,,,
62,87,103,226.0,,,,,,
67,89,190,,,,,,,
21,90,91,94.0,95.0,,,,,
45,105,106,107.0,,,,,,
30,108,109,112.0,113.0,114.0,,,,
29,110,111,115.0,,,,,,
46,116,121,127.0,,,,,,
36,117,119,120.0,126.0,128.0,,,,
35,134,135,136.0,,,,,,
44,137,140,141.0,142.0,,,,,
39,138,139,,,,,,,
40,145,146,,,,,,,
33,148,151,152.0,153.0,,,,,
41,149,150,,,,,,,
8,154,179,193.0,194.0,195.0,,,,
5,157,174,175.0,,,,,,
3,159,160,162.0,163.0,164.0,165.0,232.0,,
2,166,170,172.0,213.0,216.0,225.0,,,
1,167,171,229.0,230.0,,,,,
69,168,169,,,,,,,
64,176,235,,,,,,,
57,181,208,218.0,,,,,,
56,182,219,,,,,,,
60,185,222,,,,,,,
52,186,191,223.0,,,,,,
59,187,224,,,,,,,
66,188,228,,,,,,,
58,189,227,,,,,,,
49,197,198,,,,,,,
50,199,203,205.0,207.0,,,,,
31,200,201,202.0,,,,,,
32,204,206,,,,,,,
6,233,234,236.0,237.0,238.0,240.0,,,
28,245,250,254.0,259.0,265.0,,,,
27,246,248,257.0,261.0,,,,,
48,247,252,255.0,,,,,,
26,249,251,253.0,258.0,260.0,263.0,264.0,,
47,256,262,,,,,,,
55,266,269,,,,,,,
25,267,268,270.0,271.0,,,,,
