,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
59,0,1,,,,,,,,,,,,,
58,2,3,,,,,,,,,,,,,
5,4,29,67.0,209.0,,,,,,,,,,,
79,5,6,176.0,185.0,196.0,197.0,221.0,,,,,,,,
16,7,178,179.0,,,,,,,,,,,,
56,8,9,,,,,,,,,,,,,
73,10,165,167.0,168.0,171.0,172.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
44,11,62,139.0,,,,,,,,,,,,
2,12,70,92.0,242.0,243.0,,,,,,,,,,
47,13,60,61.0,68.0,,,,,,,,,,,
9,14,15,16.0,,,,,,,,,,,,
6,17,18,19.0,20.0,21.0,,,,,,,,,,
11,22,23,40.0,42.0,132.0,,,,,,,,,,
10,24,27,28.0,,,,,,,,,,,,
27,25,26,,,,,,,,,,,,,
7,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,
4,38,39,,,,,,,,,,,,,
52,41,59,,,,,,,,,,,,,
50,43,44,,,,,,,,,,,,,
51,45,46,,,,,,,,,,,,,
32,47,130,131.0,140.0,,,,,,,,,,,
15,48,49,50.0,51.0,,,,,,,,,,,
28,52,154,157.0,,,,,,,,,,,,
12,53,54,55.0,,,,,,,,,,,,
13,56,57,58.0,,,,,,,,,,,,
45,63,83,169.0,217.0,,,,,,,,,,,
18,64,65,66.0,,,,,,,,,,,,
1,69,72,73.0,74.0,,,,,,,,,,,
77,71,199,204.0,205.0,206.0,207.0,,,,,,,,,
21,75,81,82.0,85.0,88.0,,,,,,,,,,
20,76,77,78.0,79.0,80.0,93.0,,,,,,,,,
49,84,184,220.0,,,,,,,,,,,,
42,86,110,218.0,,,,,,,,,,,,
41,87,148,226.0,,,,,,,,,,,,
35,89,191,,,,,,,,,,,,,
19,90,91,94.0,95.0,,,,,,,,,,,
14,96,97,98.0,,,,,,,,,,,,
69,99,100,101.0,,,,,,,,,,,,
71,102,103,105.0,,,,,,,,,,,,
72,104,106,107.0,108.0,,,,,,,,,,,
8,109,113,114.0,115.0,116.0,,,,,,,,,,
67,111,112,,,,,,,,,,,,,
70,117,118,120.0,121.0,,,,,,,,,,,
39,119,144,,,,,,,,,,,,,
24,122,124,125.0,,,,,,,,,,,,
23,123,126,,,,,,,,,,,,,
68,127,128,129.0,,,,,,,,,,,,
54,133,134,136.0,,,,,,,,,,,,
53,135,137,,,,,,,,,,,,,
31,138,141,,,,,,,,,,,,,
29,142,143,,,,,,,,,,,,,
30,145,146,147.0,,,,,,,,,,,,
26,149,150,,,,,,,,,,,,,
25,151,152,153.0,,,,,,,,,,,,
78,155,180,193.0,194.0,195.0,210.0,,,,,,,,,
17,156,211,212.0,241.0,,,,,,,,,,,
60,158,161,163.0,,,,,,,,,,,,
57,159,160,,,,,,,,,,,,,
75,162,164,166.0,175.0,181.0,,,,,,,,,,
74,170,173,174.0,,,,,,,,,,,,
46,177,244,,,,,,,,,,,,,
48,182,208,,,,,,,,,,,,,
40,183,219,,,,,,,,,,,,,
38,186,222,,,,,,,,,,,,,
55,187,192,223.0,,,,,,,,,,,,
37,188,224,,,,,,,,,,,,,
34,189,228,,,,,,,,,,,,,
36,190,227,,,,,,,,,,,,,
76,198,200,201.0,202.0,203.0,,,,,,,,,,
22,233,234,236.0,237.0,238.0,240.0,,,,,,,,,
43,235,239,,,,,,,,,,,,,
64,245,255,262.0,,,,,,,,,,,,
62,246,248,257.0,261.0,,,,,,,,,,,
65,247,252,256.0,263.0,,,,,,,,,,,
61,249,253,258.0,264.0,,,,,,,,,,,
63,250,254,259.0,265.0,,,,,,,,,,,
66,251,260,,,,,,,,,,,,,
33,266,269,,,,,,,,,,,,,
3,267,268,270.0,271.0,,,,,,,,,,,
