,0,1,2,3,4,5,6,7,8,9,10
10,0,1,,,,,,,,,
11,2,3,244.0,,,,,,,,
46,4,29,209.0,,,,,,,,
2,5,6,13.0,161.0,184.0,192.0,196.0,210.0,221.0,241.0,
36,7,177,178.0,,,,,,,,
8,8,9,,,,,,,,,
3,10,214,215.0,216.0,230.0,231.0,232.0,,,,
22,11,217,220.0,,,,,,,,
32,12,92,242.0,243.0,,,,,,,
40,14,15,16.0,,,,,,,,
44,17,18,19.0,20.0,21.0,,,,,,
39,22,23,24.0,25.0,26.0,27.0,28.0,42.0,43.0,44.0,68.0
43,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,
45,38,39,,,,,,,,,
71,40,52,67.0,99.0,100.0,,,,,,
41,41,59,,,,,,,,,
42,45,46,132.0,133.0,,,,,,,
65,47,129,130.0,,,,,,,,
52,48,49,50.0,51.0,,,,,,,
54,53,97,98.0,143.0,144.0,,,,,,
53,54,55,56.0,57.0,58.0,96.0,,,,,
60,60,61,62.0,,,,,,,,
19,63,64,,,,,,,,,
58,65,66,183.0,,,,,,,,
34,69,70,71.0,,,,,,,,
35,72,73,74.0,,,,,,,,
31,75,81,82.0,83.0,84.0,85.0,88.0,,,,
30,76,77,78.0,79.0,80.0,93.0,,,,,
23,86,147,162.0,,,,,,,,
21,87,226,,,,,,,,,
25,89,190,,,,,,,,,
29,90,91,94.0,95.0,,,,,,,
70,101,119,121.0,122.0,123.0,124.0,125.0,,,,
68,102,103,104.0,107.0,163.0,,,,,,
50,105,106,,,,,,,,,
55,108,109,112.0,113.0,114.0,115.0,,,,,
67,110,111,,,,,,,,,
49,116,117,118.0,120.0,,,,,,,
51,126,127,128.0,,,,,,,,
62,131,145,155.0,211.0,212.0,,,,,,
69,134,135,136.0,,,,,,,,
63,137,140,141.0,142.0,,,,,,,
64,138,139,,,,,,,,,
20,146,149,176.0,,,,,,,,
61,148,150,151.0,,,,,,,,
66,152,153,156.0,,,,,,,,
1,154,179,193.0,194.0,195.0,,,,,,
5,157,164,166.0,167.0,170.0,171.0,213.0,225.0,229.0,,
13,158,159,,,,,,,,,
4,160,165,174.0,,,,,,,,
26,168,169,,,,,,,,,
6,172,173,175.0,180.0,,,,,,,
28,181,208,218.0,,,,,,,,
27,182,219,,,,,,,,,
18,185,222,,,,,,,,,
12,186,191,223.0,,,,,,,,
17,187,224,,,,,,,,,
24,188,228,,,,,,,,,
16,189,227,,,,,,,,,
7,197,198,199.0,,,,,,,,
59,200,201,202.0,,,,,,,,
9,203,207,,,,,,,,,
14,204,205,206.0,,,,,,,,
37,233,234,237.0,238.0,,,,,,,
38,235,236,239.0,240.0,,,,,,,
48,245,247,252.0,255.0,256.0,262.0,263.0,,,,
57,246,248,257.0,,,,,,,,
47,249,251,253.0,258.0,260.0,261.0,264.0,,,,
56,250,254,259.0,265.0,,,,,,,
15,266,269,,,,,,,,,
33,267,268,270.0,271.0,,,,,,,
