,0,1,2,3,4,5,6,7,8,9,10,11,12
37,0,1,,,,,,,,,,,
38,2,3,244.0,,,,,,,,,,
68,4,17,29.0,38.0,,,,,,,,,
72,5,6,13.0,179.0,184.0,192.0,193.0,210.0,241.0,,,,
16,7,177,178.0,,,,,,,,,,
65,8,9,,,,,,,,,,,
3,10,161,164.0,166.0,174.0,216.0,231.0,232.0,,,,,
58,11,65,217.0,,,,,,,,,,
73,12,92,242.0,243.0,,,,,,,,,
11,14,15,16.0,,,,,,,,,,
18,18,20,,,,,,,,,,,
17,19,21,,,,,,,,,,,
8,22,23,,,,,,,,,,,
52,24,145,220.0,,,,,,,,,,
9,25,26,27.0,,,,,,,,,,
13,28,42,43.0,44.0,,,,,,,,,
63,30,31,32.0,,,,,,,,,,
64,33,34,35.0,36.0,37.0,,,,,,,,
2,39,70,168.0,172.0,173.0,194.0,195.0,196.0,,,,,
31,40,52,103.0,127.0,151.0,,,,,,,,
14,41,59,,,,,,,,,,,
57,45,46,,,,,,,,,,,
24,47,99,100.0,128.0,129.0,,,,,,,,
66,48,49,50.0,51.0,,,,,,,,,
29,53,54,55.0,144.0,,,,,,,,,
10,56,57,58.0,,,,,,,,,,
46,60,61,62.0,,,,,,,,,,
53,63,83,218.0,,,,,,,,,,
26,64,132,159.0,,,,,,,,,,
47,66,84,183.0,,,,,,,,,,
23,67,68,,,,,,,,,,,
74,69,71,72.0,73.0,74.0,,,,,,,,
7,75,81,82.0,85.0,88.0,,,,,,,,
6,76,77,78.0,79.0,80.0,93.0,,,,,,,
55,86,148,,,,,,,,,,,
54,87,226,,,,,,,,,,,
60,89,190,,,,,,,,,,,
5,90,91,94.0,95.0,,,,,,,,,
34,96,97,98.0,,,,,,,,,,
21,101,120,123.0,124.0,125.0,126.0,,,,,,,
28,102,105,108.0,,,,,,,,,,
25,104,106,107.0,,,,,,,,,,
19,109,110,111.0,112.0,113.0,114.0,115.0,116.0,,,,,
45,117,119,122.0,,,,,,,,,,
20,118,121,,,,,,,,,,,
36,130,131,,,,,,,,,,,
12,133,134,,,,,,,,,,,
22,135,136,137.0,,,,,,,,,,
32,138,141,146.0,147.0,,,,,,,,,
35,139,140,,,,,,,,,,,
30,142,143,,,,,,,,,,,
27,149,150,152.0,,,,,,,,,,
1,153,154,157.0,,,,,,,,,,
15,155,156,211.0,212.0,,,,,,,,,
4,158,160,163.0,165.0,167.0,171.0,213.0,214.0,215.0,221.0,225.0,229.0,230.0
69,162,175,180.0,,,,,,,,,,
43,169,170,,,,,,,,,,,
44,176,235,236.0,,,,,,,,,,
48,181,208,,,,,,,,,,,
49,182,219,,,,,,,,,,,
51,185,222,,,,,,,,,,,
42,186,191,223.0,,,,,,,,,,
56,187,224,,,,,,,,,,,
59,188,228,,,,,,,,,,,
50,189,227,,,,,,,,,,,
67,197,198,199.0,200.0,201.0,202.0,203.0,205.0,207.0,,,,
70,204,206,209.0,,,,,,,,,,
71,233,234,237.0,238.0,239.0,240.0,,,,,,,
61,245,246,248.0,250.0,254.0,255.0,257.0,259.0,265.0,,,,
33,247,252,262.0,,,,,,,,,,
62,249,251,253.0,256.0,258.0,260.0,261.0,263.0,264.0,,,,
39,266,269,,,,,,,,,,,
41,267,270,,,,,,,,,,,
40,268,271,,,,,,,,,,,
