,0,1,2,3,4,5,6,7,8,9
56,0,1,,,,,,,,
29,2,3,244.0,,,,,,,
71,4,11,29.0,205.0,209.0,,,,,
2,5,6,13.0,161.0,184.0,196.0,210.0,221.0,241.0,
34,7,177,178.0,,,,,,,
59,8,9,,,,,,,,
4,10,162,214.0,215.0,216.0,230.0,231.0,232.0,,
31,12,92,242.0,243.0,,,,,,
24,14,15,16.0,,,,,,,
69,17,18,19.0,20.0,21.0,,,,,
23,22,23,24.0,27.0,28.0,42.0,43.0,44.0,45.0,46.0
25,25,26,40.0,52.0,67.0,68.0,,,,
68,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,
70,38,39,,,,,,,,
10,41,59,155.0,211.0,212.0,,,,,
14,47,129,130.0,,,,,,,
26,48,49,50.0,51.0,,,,,,
28,53,54,55.0,143.0,,,,,,
27,56,57,58.0,,,,,,,
8,60,61,62.0,,,,,,,
49,63,64,,,,,,,,
6,65,66,183.0,,,,,,,
33,69,70,71.0,72.0,73.0,74.0,,,,
40,75,81,82.0,84.0,85.0,88.0,,,,
39,76,77,78.0,79.0,80.0,93.0,,,,
52,83,217,,,,,,,,
53,86,220,,,,,,,,
51,87,147,226.0,,,,,,,
55,89,190,,,,,,,,
38,90,91,94.0,95.0,,,,,,
22,96,97,98.0,144.0,146.0,149.0,,,,
20,99,100,,,,,,,,
18,101,119,121.0,122.0,123.0,124.0,125.0,,,
17,102,104,107.0,,,,,,,
64,103,105,106.0,,,,,,,
5,108,109,112.0,113.0,114.0,115.0,,,,
65,110,111,,,,,,,,
67,116,117,118.0,120.0,,,,,,
66,126,127,128.0,,,,,,,
9,131,132,133.0,145.0,,,,,,
16,134,135,136.0,,,,,,,
13,137,140,141.0,142.0,,,,,,
21,138,139,,,,,,,,
15,148,150,151.0,,,,,,,
32,152,153,156.0,,,,,,,
1,154,179,192.0,193.0,194.0,195.0,,,,
3,157,164,166.0,167.0,170.0,171.0,213.0,225.0,229.0,
42,158,159,204.0,206.0,,,,,,
57,160,163,165.0,174.0,,,,,,
44,168,169,,,,,,,,
58,172,173,175.0,180.0,,,,,,
37,176,239,,,,,,,,
45,181,208,218.0,,,,,,,
50,182,219,,,,,,,,
48,185,222,,,,,,,,
41,186,191,223.0,,,,,,,
47,187,224,,,,,,,,
54,188,228,,,,,,,,
46,189,227,,,,,,,,
61,197,198,199.0,,,,,,,
7,200,201,202.0,,,,,,,
60,203,207,,,,,,,,
35,233,234,237.0,238.0,,,,,,
36,235,236,240.0,,,,,,,
63,245,247,255.0,262.0,263.0,,,,,
12,246,248,257.0,261.0,,,,,,
62,249,251,253.0,258.0,260.0,264.0,,,,
11,250,254,259.0,265.0,,,,,,
19,252,256,,,,,,,,
43,266,269,,,,,,,,
30,267,268,270.0,271.0,,,,,,
