,0,1,2,3,4,5,6,7,8,9,10
5,0,1,159.0,164.0,,,,,,,
50,2,3,244.0,,,,,,,,
16,4,17,,,,,,,,,
2,5,6,13.0,161.0,184.0,192.0,210.0,221.0,241.0,,
26,7,177,178.0,214.0,215.0,,,,,,
53,8,9,,,,,,,,,
54,10,158,,,,,,,,,
62,11,64,176.0,217.0,220.0,,,,,,
11,12,92,242.0,243.0,,,,,,,
7,14,15,16.0,,,,,,,,
14,18,19,20.0,21.0,,,,,,,
8,22,23,24.0,25.0,26.0,27.0,28.0,,,,
40,29,149,,,,,,,,,
13,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,
15,38,39,,,,,,,,,
42,40,43,67.0,68.0,72.0,99.0,124.0,,,,
19,41,59,155.0,211.0,212.0,,,,,,
9,42,44,45.0,46.0,132.0,133.0,,,,,
39,47,129,,,,,,,,,
12,48,49,50.0,51.0,,,,,,,
6,52,53,54.0,55.0,56.0,57.0,58.0,96.0,143.0,,
18,60,61,62.0,,,,,,,,
64,63,83,218.0,,,,,,,,
17,65,66,183.0,,,,,,,,
58,69,71,74.0,,,,,,,,
21,70,156,,,,,,,,,
65,73,86,147.0,,,,,,,,
29,75,81,82.0,84.0,85.0,88.0,,,,,
28,76,77,78.0,79.0,80.0,93.0,,,,,
66,87,103,226.0,,,,,,,,
68,89,190,,,,,,,,,
27,90,91,94.0,95.0,,,,,,,
24,97,160,162.0,196.0,231.0,236.0,240.0,,,,
47,98,100,122.0,123.0,125.0,,,,,,
48,101,104,,,,,,,,,
41,102,131,145.0,148.0,150.0,,,,,,
34,105,106,107.0,,,,,,,,
51,108,110,114.0,,,,,,,,
52,109,111,112.0,113.0,115.0,,,,,,
49,116,117,118.0,119.0,120.0,126.0,128.0,,,,
44,121,127,263.0,,,,,,,,
36,130,137,140.0,141.0,142.0,,,,,,
37,134,135,136.0,,,,,,,,
35,138,139,,,,,,,,,
38,144,146,,,,,,,,,
22,151,152,153.0,,,,,,,,
69,154,181,208.0,,,,,,,,
4,157,163,165.0,174.0,175.0,,,,,,
3,166,167,170.0,171.0,172.0,213.0,216.0,225.0,229.0,230.0,232.0
70,168,169,,,,,,,,,
71,173,180,209.0,,,,,,,,
1,179,193,194.0,195.0,,,,,,,
63,182,219,,,,,,,,,
61,185,222,,,,,,,,,
55,186,191,223.0,,,,,,,,
60,187,224,,,,,,,,,
67,188,228,,,,,,,,,
59,189,227,,,,,,,,,
33,197,198,199.0,203.0,205.0,207.0,,,,,
25,200,201,202.0,,,,,,,,
23,204,206,,,,,,,,,
20,233,234,237.0,238.0,,,,,,,
57,235,239,,,,,,,,,
46,245,247,252.0,,,,,,,,
31,246,248,257.0,261.0,,,,,,,
30,249,258,260.0,264.0,,,,,,,
32,250,254,259.0,265.0,,,,,,,
43,251,253,,,,,,,,,
45,255,256,262.0,,,,,,,,
56,266,269,,,,,,,,,
10,267,268,270.0,271.0,,,,,,,
