,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
30,0,1.0,,,,,,,,,,,,,
37,2,3.0,,,,,,,,,,,,,
34,4,29.0,67.0,209.0,,,,,,,,,,,
76,5,6.0,176.0,185.0,221.0,,,,,,,,,,
6,7,178.0,179.0,,,,,,,,,,,,
28,8,9.0,,,,,,,,,,,,,
73,10,165.0,167.0,168.0,171.0,172.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
42,11,65.0,66.0,,,,,,,,,,,,
3,12,70.0,92.0,242.0,243.0,268.0,271.0,,,,,,,,
41,13,60.0,,,,,,,,,,,,,
10,14,15.0,16.0,,,,,,,,,,,,
5,17,18.0,19.0,20.0,21.0,,,,,,,,,,
11,22,23.0,42.0,64.0,132.0,,,,,,,,,,
8,24,27.0,28.0,,,,,,,,,,,,
69,25,26.0,52.0,157.0,,,,,,,,,,,
12,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,
33,38,39.0,40.0,,,,,,,,,,,,
45,41,59.0,,,,,,,,,,,,,
70,43,44.0,,,,,,,,,,,,,
71,45,46.0,133.0,,,,,,,,,,,,
62,47,130.0,131.0,140.0,,,,,,,,,,,
13,48,49.0,50.0,51.0,,,,,,,,,,,
4,53,54.0,55.0,,,,,,,,,,,,
9,56,57.0,58.0,,,,,,,,,,,,
7,61,156.0,211.0,212.0,241.0,,,,,,,,,,
49,62,63.0,83.0,177.0,217.0,,,,,,,,,,
50,68,121.0,,,,,,,,,,,,,
1,69,72.0,73.0,74.0,,,,,,,,,,,
75,71,201.0,202.0,,,,,,,,,,,,
20,75,81.0,82.0,85.0,88.0,,,,,,,,,,
19,76,77.0,78.0,79.0,80.0,93.0,,,,,,,,,
40,84,184.0,220.0,,,,,,,,,,,,
52,86,,,,,,,,,,,,,,
51,87,148.0,226.0,,,,,,,,,,,,
54,89,191.0,,,,,,,,,,,,,
18,90,91.0,94.0,95.0,,,,,,,,,,,
64,96,97.0,98.0,,,,,,,,,,,,
14,99,100.0,101.0,117.0,118.0,120.0,128.0,129.0,,,,,,,
15,102,103.0,105.0,,,,,,,,,,,,
17,104,108.0,,,,,,,,,,,,,
16,106,107.0,,,,,,,,,,,,,
36,109,113.0,114.0,115.0,116.0,,,,,,,,,,
38,110,111.0,112.0,,,,,,,,,,,,
59,119,144.0,,,,,,,,,,,,,
68,122,124.0,125.0,,,,,,,,,,,,
67,123,126.0,,,,,,,,,,,,,
60,127,145.0,146.0,147.0,,,,,,,,,,,
58,134,136.0,,,,,,,,,,,,,
57,135,137.0,,,,,,,,,,,,,
61,138,139.0,141.0,,,,,,,,,,,,
63,142,143.0,,,,,,,,,,,,,
66,149,150.0,151.0,,,,,,,,,,,,
65,152,153.0,154.0,,,,,,,,,,,,
77,155,180.0,193.0,194.0,195.0,196.0,197.0,210.0,,,,,,,
31,158,161.0,163.0,,,,,,,,,,,,
29,159,160.0,,,,,,,,,,,,,
72,162,164.0,166.0,175.0,181.0,,,,,,,,,,
44,169,239.0,244.0,,,,,,,,,,,,
32,170,173.0,174.0,,,,,,,,,,,,
56,182,208.0,218.0,,,,,,,,,,,,
55,183,219.0,,,,,,,,,,,,,
48,186,222.0,,,,,,,,,,,,,
27,187,192.0,223.0,,,,,,,,,,,,
47,188,224.0,,,,,,,,,,,,,
53,189,228.0,,,,,,,,,,,,,
46,190,227.0,,,,,,,,,,,,,
74,198,199.0,200.0,203.0,204.0,205.0,206.0,207.0,,,,,,,
35,233,234.0,237.0,238.0,240.0,,,,,,,,,,
43,235,236.0,,,,,,,,,,,,,
26,245,255.0,262.0,,,,,,,,,,,,
21,246,248.0,257.0,261.0,,,,,,,,,,,
25,247,252.0,256.0,263.0,,,,,,,,,,,
24,249,253.0,258.0,,,,,,,,,,,,
22,250,254.0,259.0,265.0,,,,,,,,,,,
23,251,260.0,264.0,,,,,,,,,,,,
39,266,269.0,,,,,,,,,,,,,
2,267,270.0,,,,,,,,,,,,,
