,0,1,2,3,4,5,6,7,8,9,10,11
52,0,1,,,,,,,,,,
15,2,3,244.0,,,,,,,,,
58,4,11,,,,,,,,,,
71,5,6,13.0,162.0,163.0,175.0,184.0,196.0,209.0,210.0,221.0,241.0
72,7,177,178.0,,,,,,,,,
49,8,9,,,,,,,,,,
50,10,159,,,,,,,,,,
14,12,92,242.0,243.0,,,,,,,,
42,14,15,,,,,,,,,,
29,16,46,133.0,156.0,,,,,,,,
37,17,18,40.0,52.0,104.0,,,,,,,
2,19,20,21.0,,,,,,,,,
41,22,23,,,,,,,,,,
27,24,27,28.0,43.0,44.0,,,,,,,
34,25,26,,,,,,,,,,
53,29,169,180.0,,,,,,,,,
3,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,
1,38,39,,,,,,,,,,
9,41,59,61.0,211.0,212.0,,,,,,,
40,42,45,64.0,132.0,,,,,,,,
59,47,56,217.0,220.0,,,,,,,,
10,48,49,50.0,51.0,,,,,,,,
35,53,144,,,,,,,,,,
12,54,55,57.0,58.0,97.0,,,,,,,
33,60,62,,,,,,,,,,
61,63,176,,,,,,,,,,
8,65,66,183.0,,,,,,,,,
28,67,68,,,,,,,,,,
18,69,70,71.0,72.0,73.0,74.0,,,,,,
22,75,81,82.0,83.0,84.0,85.0,88.0,,,,,
21,76,77,78.0,79.0,80.0,93.0,,,,,,
63,86,148,,,,,,,,,,
62,87,226,,,,,,,,,,
65,89,190,,,,,,,,,,
20,90,91,94.0,95.0,,,,,,,,
11,96,98,,,,,,,,,,
36,99,100,129.0,,,,,,,,,
7,101,112,120.0,127.0,128.0,,,,,,,
5,102,103,105.0,,,,,,,,,
4,106,107,108.0,,,,,,,,,
17,109,113,114.0,115.0,116.0,,,,,,,
16,110,111,,,,,,,,,,
6,117,118,119.0,122.0,123.0,,,,,,,
44,121,124,125.0,126.0,,,,,,,,
39,130,131,137.0,,,,,,,,,
38,134,135,136.0,,,,,,,,,
31,138,141,142.0,143.0,145.0,,,,,,,
26,139,140,,,,,,,,,,
30,146,147,,,,,,,,,,
32,149,150,151.0,152.0,,,,,,,,
43,153,154,157.0,,,,,,,,,
70,155,179,192.0,193.0,194.0,195.0,,,,,,
68,158,160,,,,,,,,,,
67,161,164,166.0,174.0,,,,,,,,
69,165,167,170.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
66,168,171,172.0,173.0,,,,,,,,
54,181,208,218.0,,,,,,,,,
60,182,219,,,,,,,,,,
57,185,222,,,,,,,,,,
48,186,191,223.0,,,,,,,,,
56,187,224,,,,,,,,,,
64,188,228,,,,,,,,,,
55,189,227,,,,,,,,,,
25,197,198,199.0,203.0,205.0,207.0,,,,,,
24,200,201,202.0,,,,,,,,,
23,204,206,,,,,,,,,,
74,233,234,237.0,238.0,239.0,240.0,,,,,,
73,235,236,,,,,,,,,,
47,245,250,254.0,265.0,,,,,,,,
46,246,248,257.0,259.0,,,,,,,,
45,247,252,255.0,256.0,262.0,,,,,,,
19,249,251,253.0,258.0,260.0,261.0,263.0,264.0,,,,
51,266,269,,,,,,,,,,
13,267,268,270.0,271.0,,,,,,,,
