,0,1,2,3,4,5,6,7,8,9,10,11,12,13
20,0,1,,,,,,,,,,,,
21,2,3,244.0,,,,,,,,,,,
76,4,6,185.0,221.0,,,,,,,,,,
27,5,13,60.0,,,,,,,,,,,
4,7,178,179.0,,,,,,,,,,,
19,8,9,,,,,,,,,,,,
40,10,217,,,,,,,,,,,,
28,11,65,66.0,,,,,,,,,,,
12,12,70,92.0,242.0,243.0,268.0,271.0,,,,,,,
6,14,15,16.0,,,,,,,,,,,
1,17,18,19.0,20.0,21.0,,,,,,,,,
7,22,23,42.0,,,,,,,,,,,
42,24,27,28.0,,,,,,,,,,,
43,25,26,,,,,,,,,,,,
3,29,67,209.0,,,,,,,,,,,
8,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,
2,38,39,40.0,,,,,,,,,,,
31,41,59,,,,,,,,,,,,
44,43,44,,,,,,,,,,,,
45,45,46,133.0,,,,,,,,,,,
48,47,130,131.0,140.0,,,,,,,,,,
10,48,49,50.0,51.0,,,,,,,,,,
55,52,96,157.0,,,,,,,,,,,
68,53,54,55.0,,,,,,,,,,,
9,56,57,58.0,,,,,,,,,,,
5,61,64,132.0,156.0,211.0,212.0,241.0,,,,,,,
41,62,63,83.0,177.0,,,,,,,,,,
38,68,87,226.0,,,,,,,,,,,
11,69,71,72.0,73.0,74.0,,,,,,,,,
15,75,81,82.0,85.0,88.0,,,,,,,,,
14,76,77,78.0,79.0,80.0,93.0,,,,,,,,
26,84,184,220.0,,,,,,,,,,,
39,86,148,,,,,,,,,,,,
34,89,191,,,,,,,,,,,,
13,90,91,94.0,95.0,,,,,,,,,,
54,97,98,,,,,,,,,,,,
62,99,100,101.0,,,,,,,,,,,
65,102,103,104.0,105.0,108.0,,,,,,,,,
64,106,107,,,,,,,,,,,,
69,109,113,114.0,115.0,116.0,,,,,,,,,
60,110,111,112.0,,,,,,,,,,,
61,117,118,120.0,121.0,,,,,,,,,,
58,119,122,,,,,,,,,,,,
59,123,124,125.0,126.0,,,,,,,,,,
63,127,128,129.0,,,,,,,,,,,
52,134,136,144.0,,,,,,,,,,,
32,135,137,,,,,,,,,,,,
47,138,139,141.0,,,,,,,,,,,
51,142,143,145.0,,,,,,,,,,,
46,146,147,,,,,,,,,,,,
50,149,150,151.0,,,,,,,,,,,
53,152,153,154.0,,,,,,,,,,,
75,155,180,193.0,194.0,195.0,196.0,197.0,210.0,,,,,,
77,158,161,163.0,,,,,,,,,,,
18,159,160,,,,,,,,,,,,
73,162,169,181.0,,,,,,,,,,,
72,164,166,175.0,176.0,,,,,,,,,,
70,165,167,168.0,171.0,172.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
71,170,173,174.0,,,,,,,,,,,
30,182,208,218.0,,,,,,,,,,,
29,183,219,,,,,,,,,,,,
37,186,222,,,,,,,,,,,,
17,187,192,223.0,,,,,,,,,,,
36,188,224,,,,,,,,,,,,
33,189,228,,,,,,,,,,,,
35,190,227,,,,,,,,,,,,
74,198,199,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,,,,
16,233,234,237.0,238.0,,,,,,,,,,
24,235,236,,,,,,,,,,,,
23,239,240,,,,,,,,,,,,
49,245,255,,,,,,,,,,,,
56,246,248,257.0,261.0,,,,,,,,,,
67,247,252,253.0,256.0,262.0,263.0,,,,,,,,
66,249,251,258.0,260.0,264.0,,,,,,,,,
57,250,254,259.0,265.0,,,,,,,,,,
25,266,269,,,,,,,,,,,,
22,267,270,,,,,,,,,,,,
