,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
39,0,1.0,,,,,,,,,,,,,,
40,2,3.0,244.0,,,,,,,,,,,,,
43,4,5.0,29.0,175.0,180.0,209.0,,,,,,,,,,
63,6,13.0,184.0,210.0,221.0,,,,,,,,,,,
65,7,177.0,178.0,,,,,,,,,,,,,
44,8,9.0,,,,,,,,,,,,,,
46,10,158.0,223.0,,,,,,,,,,,,,
55,11,176.0,217.0,220.0,,,,,,,,,,,,
16,12,91.0,242.0,243.0,,,,,,,,,,,,
3,14,15.0,16.0,,,,,,,,,,,,,
8,17,18.0,19.0,20.0,21.0,,,,,,,,,,,
5,22,23.0,24.0,25.0,26.0,27.0,28.0,42.0,43.0,44.0,67.0,,,,,
6,30,31.0,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,,
7,38,39.0,,,,,,,,,,,,,,
33,40,66.0,98.0,99.0,,,,,,,,,,,,
11,41,58.0,,,,,,,,,,,,,,
4,45,46.0,132.0,133.0,,,,,,,,,,,,
38,47,129.0,130.0,,,,,,,,,,,,,
13,48,49.0,50.0,51.0,,,,,,,,,,,,
35,52,96.0,97.0,143.0,149.0,,,,,,,,,,,
14,53,54.0,55.0,56.0,57.0,95.0,,,,,,,,,,
10,59,60.0,61.0,,,,,,,,,,,,,
53,62,63.0,,,,,,,,,,,,,,
9,64,65.0,183.0,,,,,,,,,,,,,
18,68,69.0,70.0,,,,,,,,,,,,,
19,71,72.0,73.0,,,,,,,,,,,,,
61,74,80.0,81.0,82.0,83.0,84.0,87.0,,,,,,,,,
60,75,76.0,77.0,78.0,79.0,92.0,,,,,,,,,,
56,85,,,,,,,,,,,,,,,
54,86,147.0,226.0,,,,,,,,,,,,,
58,88,190.0,,,,,,,,,,,,,,
59,89,90.0,93.0,94.0,,,,,,,,,,,,
24,100,119.0,121.0,122.0,123.0,124.0,125.0,,,,,,,,,
26,101,102.0,103.0,,,,,,,,,,,,,
30,104,105.0,106.0,107.0,,,,,,,,,,,,
29,108,109.0,112.0,113.0,114.0,115.0,,,,,,,,,,
27,110,111.0,,,,,,,,,,,,,,
28,116,117.0,118.0,120.0,,,,,,,,,,,,
25,126,127.0,128.0,,,,,,,,,,,,,
12,131,155.0,211.0,212.0,241.0,,,,,,,,,,,
37,134,135.0,136.0,,,,,,,,,,,,,
36,137,140.0,141.0,142.0,,,,,,,,,,,,
31,138,139.0,,,,,,,,,,,,,,
34,144,145.0,146.0,,,,,,,,,,,,,
32,148,150.0,151.0,,,,,,,,,,,,,
17,152,153.0,156.0,,,,,,,,,,,,,
64,154,161.0,179.0,192.0,193.0,194.0,195.0,196.0,,,,,,,,
1,157,159.0,162.0,,,,,,,,,,,,,
41,160,163.0,165.0,174.0,,,,,,,,,,,,
2,164,166.0,167.0,170.0,171.0,172.0,173.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
42,168,169.0,,,,,,,,,,,,,,
49,181,208.0,218.0,,,,,,,,,,,,,
48,182,219.0,,,,,,,,,,,,,,
52,185,222.0,,,,,,,,,,,,,,
45,186,191.0,,,,,,,,,,,,,,
51,187,224.0,,,,,,,,,,,,,,
57,188,228.0,,,,,,,,,,,,,,
50,189,227.0,,,,,,,,,,,,,,
62,197,198.0,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,,,,,
66,233,234.0,237.0,238.0,,,,,,,,,,,,
68,235,236.0,,,,,,,,,,,,,,
67,239,240.0,,,,,,,,,,,,,,
23,245,247.0,252.0,255.0,263.0,,,,,,,,,,,
21,246,248.0,250.0,254.0,257.0,259.0,265.0,,,,,,,,,
22,249,251.0,253.0,258.0,260.0,261.0,264.0,,,,,,,,,
20,256,262.0,,,,,,,,,,,,,,
47,266,269.0,,,,,,,,,,,,,,
15,267,268.0,270.0,271.0,,,,,,,,,,,,
