,0,1,2,3,4,5,6,7,8,9,10,11,12,13
24,0,1,,,,,,,,,,,,
23,2,3,,,,,,,,,,,,
71,4,6,158.0,161.0,163.0,185.0,221.0,,,,,,,
77,5,13,60.0,,,,,,,,,,,
3,7,178,179.0,,,,,,,,,,,
22,8,9,,,,,,,,,,,,
39,10,217,,,,,,,,,,,,
26,11,65,66.0,,,,,,,,,,,
11,12,70,92.0,242.0,243.0,268.0,271.0,,,,,,,
5,14,15,16.0,,,,,,,,,,,
4,17,18,19.0,20.0,21.0,,,,,,,,,
55,22,23,,,,,,,,,,,,
56,24,27,28.0,,,,,,,,,,,
53,25,26,,,,,,,,,,,,
2,29,67,209.0,,,,,,,,,,,
7,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,
1,38,39,40.0,,,,,,,,,,,
30,41,59,,,,,,,,,,,,
57,42,43,44.0,,,,,,,,,,,
58,45,46,133.0,,,,,,,,,,,
60,47,130,131.0,140.0,,,,,,,,,,
9,48,49,50.0,51.0,,,,,,,,,,
54,52,96,157.0,,,,,,,,,,,
51,53,54,55.0,,,,,,,,,,,
8,56,57,58.0,,,,,,,,,,,
6,61,64,132.0,156.0,211.0,212.0,241.0,,,,,,,
40,62,63,83.0,177.0,,,,,,,,,,
37,68,87,226.0,,,,,,,,,,,
10,69,71,72.0,73.0,74.0,,,,,,,,,
14,75,81,82.0,85.0,88.0,,,,,,,,,
13,76,77,78.0,79.0,80.0,93.0,,,,,,,,
27,84,184,220.0,,,,,,,,,,,
38,86,148,,,,,,,,,,,,
33,89,191,,,,,,,,,,,,
12,90,91,94.0,95.0,,,,,,,,,,
61,97,98,,,,,,,,,,,,
49,99,100,101.0,,,,,,,,,,,
46,102,103,104.0,105.0,108.0,,,,,,,,,
17,106,107,,,,,,,,,,,,
52,109,113,114.0,115.0,116.0,,,,,,,,,
47,110,111,112.0,,,,,,,,,,,
48,117,118,120.0,121.0,,,,,,,,,,
67,119,122,,,,,,,,,,,,
63,123,124,125.0,126.0,,,,,,,,,,
50,127,128,129.0,,,,,,,,,,,
68,134,136,144.0,,,,,,,,,,,
31,135,137,,,,,,,,,,,,
59,138,139,141.0,,,,,,,,,,,
65,142,143,,,,,,,,,,,,
62,145,146,147.0,,,,,,,,,,,
64,149,150,151.0,152.0,,,,,,,,,,
66,153,154,244.0,,,,,,,,,,,
70,155,180,193.0,194.0,195.0,196.0,197.0,210.0,,,,,,
21,159,160,,,,,,,,,,,,
76,162,169,181.0,,,,,,,,,,,
74,164,166,175.0,176.0,,,,,,,,,,
69,165,167,168.0,171.0,172.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
75,170,173,174.0,,,,,,,,,,,
29,182,208,218.0,,,,,,,,,,,
28,183,219,,,,,,,,,,,,
36,186,222,,,,,,,,,,,,
20,187,192,223.0,,,,,,,,,,,
35,188,224,,,,,,,,,,,,
32,189,228,,,,,,,,,,,,
34,190,227,,,,,,,,,,,,
73,198,199,200.0,205.0,207.0,,,,,,,,,
72,201,202,203.0,204.0,206.0,,,,,,,,,
19,233,234,237.0,238.0,,,,,,,,,,
43,235,236,,,,,,,,,,,,
42,239,240,,,,,,,,,,,,
45,245,251,255.0,260.0,,,,,,,,,,
15,246,248,257.0,261.0,,,,,,,,,,
44,247,252,256.0,262.0,263.0,,,,,,,,,
18,249,253,258.0,264.0,,,,,,,,,,
16,250,254,259.0,265.0,,,,,,,,,,
25,266,269,,,,,,,,,,,,
41,267,270,,,,,,,,,,,,
