,0,1,2,3,4,5,6,7,8,9,10,11,12,13
72,0,1,,,,,,,,,,,,
49,2,3,244.0,,,,,,,,,,,
73,4,6,158.0,161.0,163.0,185.0,221.0,,,,,,,
77,5,13,60.0,,,,,,,,,,,
16,7,178,179.0,,,,,,,,,,,
48,8,9,,,,,,,,,,,,
64,10,217,,,,,,,,,,,,
52,11,65,66.0,,,,,,,,,,,
2,12,92,242.0,243.0,,,,,,,,,,
18,14,15,16.0,,,,,,,,,,,
13,17,18,19.0,20.0,21.0,,,,,,,,,
19,22,23,42.0,,,,,,,,,,,
32,24,27,28.0,,,,,,,,,,,
35,25,26,,,,,,,,,,,,
15,29,67,209.0,,,,,,,,,,,
12,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,
14,38,39,40.0,,,,,,,,,,,
58,41,59,,,,,,,,,,,,
33,43,44,,,,,,,,,,,,
34,45,46,133.0,,,,,,,,,,,
40,47,130,131.0,,,,,,,,,,,
22,48,49,50.0,51.0,,,,,,,,,,
36,52,96,,,,,,,,,,,,
20,53,54,55.0,,,,,,,,,,,
21,56,57,58.0,,,,,,,,,,,
17,61,64,132.0,156.0,211.0,212.0,241.0,,,,,,,
65,62,63,83.0,,,,,,,,,,,
43,68,119,134.0,136.0,144.0,177.0,,,,,,,,
1,69,70,71.0,73.0,74.0,,,,,,,,,
66,72,86,,,,,,,,,,,,
25,75,81,82.0,85.0,88.0,,,,,,,,,
24,76,77,78.0,79.0,80.0,93.0,,,,,,,,
53,84,184,220.0,,,,,,,,,,,
67,87,148,226.0,,,,,,,,,,,
60,89,191,,,,,,,,,,,,
23,90,91,94.0,95.0,,,,,,,,,,
37,97,98,,,,,,,,,,,,
7,99,100,101.0,,,,,,,,,,,
9,102,103,105.0,,,,,,,,,,,
10,104,108,,,,,,,,,,,,
41,106,107,,,,,,,,,,,,
31,109,113,114.0,115.0,116.0,,,,,,,,,
6,110,111,112.0,,,,,,,,,,,
8,117,118,120.0,121.0,,,,,,,,,,
5,122,123,124.0,125.0,126.0,,,,,,,,,
11,127,128,129.0,139.0,,,,,,,,,,
57,135,137,,,,,,,,,,,,
39,138,140,141.0,,,,,,,,,,,
42,142,143,,,,,,,,,,,,
38,145,146,147.0,,,,,,,,,,,
45,149,150,151.0,152.0,,,,,,,,,,
44,153,154,157.0,,,,,,,,,,,
71,155,180,193.0,194.0,195.0,196.0,197.0,210.0,,,,,,
47,159,160,,,,,,,,,,,,
76,162,169,181.0,,,,,,,,,,,
74,164,166,175.0,176.0,,,,,,,,,,
68,165,167,168.0,171.0,172.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
75,170,173,174.0,,,,,,,,,,,
55,182,208,218.0,,,,,,,,,,,
54,183,219,,,,,,,,,,,,
63,186,222,,,,,,,,,,,,
46,187,192,223.0,,,,,,,,,,,
62,188,224,,,,,,,,,,,,
59,189,228,,,,,,,,,,,,
61,190,227,,,,,,,,,,,,
69,198,200,201.0,202.0,203.0,,,,,,,,,
70,199,204,205.0,206.0,207.0,,,,,,,,,
30,233,234,237.0,238.0,,,,,,,,,,
56,235,236,,,,,,,,,,,,
51,239,240,,,,,,,,,,,,
4,245,252,255.0,256.0,262.0,263.0,,,,,,,,
28,246,248,257.0,261.0,,,,,,,,,,
26,247,253,,,,,,,,,,,,
27,249,251,258.0,260.0,264.0,,,,,,,,,
29,250,254,259.0,265.0,,,,,,,,,,
50,266,269,,,,,,,,,,,,
3,267,268,270.0,271.0,,,,,,,,,,
