,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
34,0,1,,,,,,,,,,,,,,
50,2,3,244.0,,,,,,,,,,,,,
36,4,29,180.0,209.0,,,,,,,,,,,,
47,5,83,217.0,,,,,,,,,,,,,
4,6,13,184.0,210.0,221.0,,,,,,,,,,,
9,7,177,178.0,,,,,,,,,,,,,
31,8,9,,,,,,,,,,,,,,
32,10,64,158.0,,,,,,,,,,,,,
45,11,47,220.0,,,,,,,,,,,,,
23,12,92,242.0,243.0,,,,,,,,,,,,
15,14,15,16.0,,,,,,,,,,,,,
19,17,18,19.0,20.0,21.0,,,,,,,,,,,
14,22,23,24.0,27.0,28.0,42.0,43.0,44.0,,,,,,,,
13,25,26,52.0,68.0,,,,,,,,,,,,
18,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,,,
20,38,39,40.0,,,,,,,,,,,,,
16,41,59,,,,,,,,,,,,,,
17,45,46,133.0,134.0,,,,,,,,,,,,
24,48,49,50.0,51.0,,,,,,,,,,,,
22,53,54,55.0,56.0,57.0,58.0,144.0,,,,,,,,,
59,60,61,62.0,,,,,,,,,,,,,
46,63,218,,,,,,,,,,,,,,
57,65,66,183.0,,,,,,,,,,,,,
58,67,135,136.0,137.0,,,,,,,,,,,,
8,69,70,71.0,72.0,73.0,74.0,,,,,,,,,,
27,75,81,82.0,84.0,85.0,88.0,,,,,,,,,,
26,76,77,78.0,79.0,80.0,93.0,,,,,,,,,,
44,86,87,148.0,,,,,,,,,,,,,
49,89,190,,,,,,,,,,,,,,
25,90,91,94.0,95.0,,,,,,,,,,,,
56,96,97,98.0,,,,,,,,,,,,,
68,99,100,101.0,,,,,,,,,,,,,
66,102,103,105.0,,,,,,,,,,,,,
65,104,106,107.0,108.0,,,,,,,,,,,,
62,109,110,113.0,114.0,115.0,116.0,,,,,,,,,,
61,111,112,,,,,,,,,,,,,,
63,117,118,120.0,121.0,,,,,,,,,,,,
64,119,122,123.0,124.0,125.0,126.0,,,,,,,,,,
67,127,128,129.0,,,,,,,,,,,,,
52,130,131,150.0,,,,,,,,,,,,,
60,132,149,151.0,155.0,211.0,212.0,241.0,,,,,,,,,
53,138,141,142.0,143.0,,,,,,,,,,,,
55,139,140,,,,,,,,,,,,,,
54,145,146,147.0,,,,,,,,,,,,,
51,152,153,156.0,,,,,,,,,,,,,
5,154,161,179.0,192.0,193.0,194.0,195.0,,,,,,,,,
1,157,159,162.0,,,,,,,,,,,,,
3,160,163,165.0,174.0,175.0,,,,,,,,,,,
2,164,166,167.0,170.0,171.0,172.0,173.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
35,168,169,,,,,,,,,,,,,,
43,176,226,,,,,,,,,,,,,,
38,181,196,208.0,,,,,,,,,,,,,
39,182,219,,,,,,,,,,,,,,
42,185,222,,,,,,,,,,,,,,
30,186,191,223.0,,,,,,,,,,,,,
41,187,224,,,,,,,,,,,,,,
48,188,228,,,,,,,,,,,,,,
40,189,227,,,,,,,,,,,,,,
7,197,200,201.0,202.0,204.0,206.0,,,,,,,,,,
6,198,199,203.0,205.0,207.0,,,,,,,,,,,
10,233,234,237.0,238.0,,,,,,,,,,,,
12,235,236,,,,,,,,,,,,,,
11,239,240,,,,,,,,,,,,,,
29,245,248,250.0,254.0,255.0,257.0,259.0,265.0,,,,,,,,
37,246,249,258.0,261.0,264.0,,,,,,,,,,,
28,247,251,252.0,253.0,256.0,260.0,262.0,263.0,,,,,,,,
33,266,269,,,,,,,,,,,,,,
21,267,268,270.0,271.0,,,,,,,,,,,,
