,0,1,2,3,4,5,6,7,8,9,10,11,12,13
47,0,1,,,,,,,,,,,,
46,2,3,,,,,,,,,,,,
75,4,6,176.0,185.0,221.0,,,,,,,,,
50,5,13,60.0,,,,,,,,,,,
4,7,178,179.0,,,,,,,,,,,
34,8,9,,,,,,,,,,,,
55,10,217,,,,,,,,,,,,
51,11,65,66.0,,,,,,,,,,,
13,12,70,92.0,242.0,243.0,268.0,271.0,,,,,,,
6,14,15,16.0,,,,,,,,,,,
1,17,18,19.0,20.0,21.0,,,,,,,,,
7,22,23,42.0,,,,,,,,,,,
64,24,27,28.0,,,,,,,,,,,
41,25,26,,,,,,,,,,,,
3,29,67,209.0,,,,,,,,,,,
8,30,31,32.0,33.0,34.0,35.0,36.0,37.0,,,,,,
2,38,39,40.0,,,,,,,,,,,
68,41,59,,,,,,,,,,,,
69,43,44,,,,,,,,,,,,
70,45,46,133.0,,,,,,,,,,,
40,47,130,131.0,140.0,,,,,,,,,,
10,48,49,50.0,51.0,,,,,,,,,,
42,52,157,,,,,,,,,,,,
35,53,54,55.0,,,,,,,,,,,
9,56,57,58.0,,,,,,,,,,,
5,61,64,132.0,156.0,211.0,212.0,241.0,,,,,,,
56,62,63,169.0,177.0,,,,,,,,,,
59,68,87,226.0,,,,,,,,,,,
11,69,71,72.0,73.0,74.0,,,,,,,,,
16,75,81,82.0,83.0,85.0,88.0,,,,,,,,
15,76,77,78.0,79.0,80.0,93.0,,,,,,,,
49,84,184,220.0,,,,,,,,,,,
60,86,148,,,,,,,,,,,,
62,89,191,,,,,,,,,,,,
14,90,91,94.0,95.0,,,,,,,,,,
43,96,97,98.0,,,,,,,,,,,
28,99,100,101.0,128.0,129.0,,,,,,,,,
25,102,103,105.0,,,,,,,,,,,
26,104,108,,,,,,,,,,,,
63,106,107,,,,,,,,,,,,
36,109,113,114.0,115.0,116.0,,,,,,,,,
24,110,111,112.0,,,,,,,,,,,
27,117,118,120.0,121.0,,,,,,,,,,
66,119,122,,,,,,,,,,,,
23,123,124,125.0,126.0,,,,,,,,,,
67,127,134,136.0,144.0,,,,,,,,,,
65,135,137,,,,,,,,,,,,
39,138,139,141.0,,,,,,,,,,,
37,142,143,145.0,,,,,,,,,,,
38,146,147,,,,,,,,,,,,
45,149,150,151.0,152.0,,,,,,,,,,
44,153,154,244.0,,,,,,,,,,,
73,155,180,193.0,194.0,195.0,196.0,197.0,210.0,,,,,,
74,158,161,163.0,,,,,,,,,,,
33,159,160,,,,,,,,,,,,
77,162,164,166.0,175.0,181.0,,,,,,,,,
71,165,167,168.0,171.0,172.0,213.0,214.0,215.0,216.0,225.0,229.0,230.0,231.0,232.0
76,170,173,174.0,,,,,,,,,,,
53,182,208,218.0,,,,,,,,,,,
52,183,219,,,,,,,,,,,,
58,186,222,,,,,,,,,,,,
32,187,192,223.0,,,,,,,,,,,
57,188,224,,,,,,,,,,,,
61,189,228,,,,,,,,,,,,
54,190,227,,,,,,,,,,,,
72,198,199,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,,,,
29,233,234,237.0,238.0,,,,,,,,,,
31,235,236,,,,,,,,,,,,
30,239,240,,,,,,,,,,,,
21,245,255,,,,,,,,,,,,
17,246,248,257.0,261.0,,,,,,,,,,
22,247,252,256.0,262.0,263.0,,,,,,,,,
20,249,253,258.0,,,,,,,,,,,
18,250,254,259.0,265.0,,,,,,,,,,
19,251,260,264.0,,,,,,,,,,,
48,266,269,,,,,,,,,,,,
12,267,270,,,,,,,,,,,,
