,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
33,0,1,,,,,,,,,,,,,
34,2,3,244.0,,,,,,,,,,,,
19,4,17,19.0,21.0,,,,,,,,,,,
48,5,176,,,,,,,,,,,,,
9,6,13,184.0,192.0,196.0,210.0,221.0,241.0,,,,,,,
26,7,177,178.0,,,,,,,,,,,,
38,8,9,,,,,,,,,,,,,
49,10,217,,,,,,,,,,,,,
47,11,65,,,,,,,,,,,,,
10,12,92,242.0,243.0,,,,,,,,,,,
24,14,15,16.0,,,,,,,,,,,,
18,18,20,,,,,,,,,,,,,
20,22,23,,,,,,,,,,,,,
22,24,27,,,,,,,,,,,,,
21,25,26,,,,,,,,,,,,,
25,28,42,43.0,44.0,133.0,134.0,,,,,,,,,
5,29,162,180.0,198.0,204.0,206.0,209.0,,,,,,,,
15,30,31,32.0,,,,,,,,,,,,
16,33,34,35.0,36.0,37.0,,,,,,,,,,
17,38,39,40.0,,,,,,,,,,,,
27,41,59,155.0,156.0,211.0,212.0,,,,,,,,,
46,45,46,,,,,,,,,,,,,
76,47,52,103.0,127.0,151.0,,,,,,,,,,
78,48,49,50.0,51.0,,,,,,,,,,,
77,53,54,55.0,,,,,,,,,,,,
23,56,57,58.0,,,,,,,,,,,,
44,60,61,62.0,,,,,,,,,,,,
53,63,83,218.0,,,,,,,,,,,,
39,64,132,159.0,,,,,,,,,,,,
41,66,84,183.0,,,,,,,,,,,,
63,67,68,,,,,,,,,,,,,
11,69,70,71.0,72.0,73.0,74.0,,,,,,,,,
14,75,81,82.0,85.0,88.0,,,,,,,,,,
13,76,77,78.0,79.0,80.0,93.0,,,,,,,,,
56,86,148,,,,,,,,,,,,,
54,87,226,,,,,,,,,,,,,
58,89,190,,,,,,,,,,,,,
12,90,91,94.0,95.0,,,,,,,,,,,
70,96,97,98.0,108.0,144.0,,,,,,,,,,
64,99,100,128.0,129.0,,,,,,,,,,,
60,101,120,123.0,124.0,126.0,,,,,,,,,,
62,102,105,,,,,,,,,,,,,
61,104,106,107.0,,,,,,,,,,,,
28,109,110,111.0,112.0,113.0,114.0,115.0,116.0,,,,,,,
65,117,119,122.0,125.0,,,,,,,,,,,
59,118,121,,,,,,,,,,,,,
72,130,131,,,,,,,,,,,,,
67,135,136,137.0,,,,,,,,,,,,
74,138,141,,,,,,,,,,,,,
71,139,140,,,,,,,,,,,,,
73,142,143,,,,,,,,,,,,,
55,145,220,,,,,,,,,,,,,
75,146,147,,,,,,,,,,,,,
68,149,150,152.0,,,,,,,,,,,,
69,153,154,157.0,,,,,,,,,,,,
1,158,160,163.0,165.0,167.0,168.0,171.0,172.0,173.0,213.0,214.0,215.0,225.0,229.0,230.0
3,161,164,166.0,174.0,175.0,,,,,,,,,,
43,169,170,,,,,,,,,,,,,
8,179,193,194.0,195.0,,,,,,,,,,,
42,181,208,,,,,,,,,,,,,
52,182,219,,,,,,,,,,,,,
51,185,222,,,,,,,,,,,,,
37,186,191,223.0,,,,,,,,,,,,
50,187,224,,,,,,,,,,,,,
57,188,228,,,,,,,,,,,,,
45,189,227,,,,,,,,,,,,,
4,197,199,200.0,201.0,202.0,203.0,205.0,207.0,,,,,,,
2,216,231,232.0,,,,,,,,,,,,
7,233,234,237.0,238.0,239.0,240.0,,,,,,,,,
6,235,236,,,,,,,,,,,,,
32,245,253,256.0,,,,,,,,,,,,
29,246,248,257.0,,,,,,,,,,,,
66,247,252,262.0,,,,,,,,,,,,
31,249,251,258.0,260.0,261.0,263.0,264.0,,,,,,,,
30,250,254,255.0,259.0,265.0,,,,,,,,,,
40,266,269,,,,,,,,,,,,,
36,267,270,,,,,,,,,,,,,
35,268,271,,,,,,,,,,,,,
